start,end,duration,saccade,blink,fixation,eye
1369641,1369952,311,0,0,1,1
1369641,1369952,311,0,0,1,2
1369953,1370008,55,1,0,0,2
1369953,1370010,57,1,0,0,1
1370009,1370104,95,0,0,1,2
1370011,1370104,93,0,0,1,1
1370105,1370130,25,1,0,0,1
1370105,1370130,25,1,0,0,2
1370131,1371210,1079,0,0,1,2
1370131,1371211,1080,0,0,1,1
1371211,1371449,238,1,0,0,2
1371212,1371419,207,1,0,0,1
1371227,1371393,166,0,1,0,1
1371234,1371379,145,0,1,0,2
1371420,1371606,186,0,0,1,1
1371450,1371606,156,0,0,1,2
1371607,1371628,21,1,0,0,1
1371607,1371634,27,1,0,0,2
1371629,1372011,382,0,0,1,1
1371635,1372013,378,0,0,1,2
1372012,1372650,638,1,0,0,1
1372014,1372126,112,1,0,0,2
1372095,1372592,497,0,1,0,1
1372127,1372553,426,0,0,1,2
1372554,1372644,90,1,0,0,2
1372645,1372842,197,0,0,1,2
1372651,1372839,188,0,0,1,1
1372840,1372864,24,1,0,0,1
1372843,1372881,38,1,0,0,2
1372865,1373098,233,0,0,1,1
1372882,1373110,228,0,0,1,2
1373099,1373331,232,1,0,0,1
1373111,1373326,215,1,0,0,2
1373129,1373295,166,0,1,0,1
1373137,1373251,114,0,1,0,2
1373327,1373504,177,0,0,1,2
1373332,1373503,171,0,0,1,1
1373504,1376949,3445,1,0,0,1
1373505,1376930,3425,1,0,0,2
1373541,1376804,3263,0,1,0,1
1373546,1376816,3270,0,1,0,2
1376931,1377144,213,0,0,1,2
1376950,1377145,195,0,0,1,1
1377145,1377166,21,1,0,0,2
1377146,1377160,14,1,0,0,1
1377161,1377484,323,0,0,1,1
1377167,1377484,317,0,0,1,2
1377485,1378579,1094,1,0,0,1
1377485,1378612,1127,1,0,0,2
1377514,1378568,1054,0,1,0,1
1377521,1378575,1054,0,1,0,2
1378580,1378609,29,0,0,1,1
1378610,1378702,92,1,0,0,1
1378613,1378659,46,0,0,1,2
1378660,1378701,41,1,0,0,2
1378702,1379066,364,0,0,1,2
1378703,1379067,364,0,0,1,1
1379067,1379082,15,1,0,0,2
1379068,1379084,16,1,0,0,1
1379083,1379378,295,0,0,1,2
1379085,1379374,289,0,0,1,1
1379375,1379561,186,1,0,0,1
1379379,1379554,175,1,0,0,2
1379395,1379531,136,0,1,0,1
1379400,1379506,106,0,1,0,2
1379555,1379687,132,0,0,1,2
1379562,1379685,123,0,0,1,1
1379686,1379704,18,1,0,0,1
1379688,1379702,14,1,0,0,2
1379703,1380946,1243,0,0,1,2
1379705,1380948,1243,0,0,1,1
1380947,1381112,165,1,0,0,2
1380949,1381136,187,1,0,0,1
1380966,1381094,128,0,1,0,1
1380973,1381070,97,0,1,0,2
1381113,1381349,236,0,0,1,2
1381137,1384864,3727,0,0,1,1
1381350,1381359,9,1,0,0,2
1381360,1384630,3270,0,0,1,2
1384631,1384640,9,1,0,0,2
1384641,1384866,225,0,0,1,2
1384865,1385051,186,1,0,0,1
1384867,1385066,199,1,0,0,2
1384886,1385035,149,0,1,0,1
1384890,1385014,124,0,1,0,2
1385052,1385296,244,0,0,1,1
1385067,1385291,224,0,0,1,2
1385292,1385308,16,1,0,0,2
1385297,1385307,10,1,0,0,1
1385308,1387983,2675,0,0,1,1
1385309,1387982,2673,0,0,1,2
1387983,1387997,14,1,0,0,2
1387984,1387998,14,1,0,0,1
1387998,1389164,1166,0,0,1,2
1387999,1389163,1164,0,0,1,1
1389164,1390556,1392,1,0,0,1
1389165,1390560,1395,1,0,0,2
1389219,1390533,1314,0,1,0,1
1389233,1390549,1316,0,1,0,2
1390557,1390851,294,0,0,1,1
1390561,1390852,291,0,0,1,2
1390852,1390892,40,1,0,0,1
1390853,1390892,39,1,0,0,2
1390893,1391298,405,0,0,1,1
1390893,1391298,405,0,0,1,2
1391299,1391438,139,1,0,0,2
1391299,1391443,144,1,0,0,1
1391439,1391912,473,0,0,1,2
1391444,1391914,470,0,0,1,1
1391913,1391940,27,1,0,0,2
1391915,1391938,23,1,0,0,1
1391939,1392822,883,0,0,1,1
1391941,1392823,882,0,0,1,2
1392823,1392847,24,1,0,0,1
1392824,1392845,21,1,0,0,2
1392846,1393067,221,0,0,1,2
1392848,1393065,217,0,0,1,1
1393066,1393086,20,1,0,0,1
1393068,1393088,20,1,0,0,2
1393087,1393407,320,0,0,1,1
1393089,1393406,317,0,0,1,2
1393407,1393427,20,1,0,0,2
1393408,1393431,23,1,0,0,1
1393428,1393908,480,0,0,1,2
1393432,1393909,477,0,0,1,1
1393909,1393937,28,1,0,0,2
1393910,1393935,25,1,0,0,1
1393936,1394241,305,0,0,1,1
1393938,1394237,299,0,0,1,2
1394238,1394299,61,1,0,0,2
1394242,1394278,36,1,0,0,1
1394279,1394548,269,0,0,1,1
1394300,1394543,243,0,0,1,2
1394544,1394846,302,1,0,0,2
1394549,1394585,36,1,0,0,1
1394575,1394824,249,0,1,0,2
1394586,1394797,211,0,0,1,1
1394798,1394846,48,1,0,0,1
1394847,1394894,47,0,0,1,2
1394847,1394920,73,0,0,1,1
1394895,1395118,223,1,0,0,2
1394921,1395143,222,1,0,0,1
1394949,1395098,149,0,1,0,1
1394963,1395045,82,0,1,0,2
1395119,1395345,226,0,0,1,2
1395144,1395344,200,0,0,1,1
1395345,1395386,41,1,0,0,1
1395346,1395385,39,1,0,0,2
1395386,1395783,397,0,0,1,2
1395387,1395775,388,0,0,1,1
1395776,1395794,18,1,0,0,1
1395784,1395790,6,1,0,0,2
1395791,1396192,401,0,0,1,2
1395795,1396186,391,0,0,1,1
1396187,1396360,173,1,0,0,1
1396193,1396358,165,1,0,0,2
1396206,1396342,136,0,1,0,1
1396217,1396303,86,0,1,0,2
1396359,1396832,473,0,0,1,2
1396361,1396833,472,0,0,1,1
1396833,1396854,21,1,0,0,2
1396834,1396845,11,1,0,0,1
1396846,1397008,162,0,0,1,1
1396855,1397013,158,0,0,1,2
1397009,1397024,15,1,0,0,1
1397014,1397023,9,1,0,0,2
1397024,1397482,458,0,0,1,2
1397025,1397482,457,0,0,1,1
1397483,1397633,150,1,0,0,1
1397483,1397633,150,1,0,0,2
1397634,1397864,230,0,0,1,1
1397634,1397865,231,0,0,1,2
1397865,1397895,30,1,0,0,1
1397866,1397896,30,1,0,0,2
1397896,1398153,257,0,0,1,1
1397897,1398153,256,0,0,1,2
1398154,1398173,19,1,0,0,1
1398154,1398173,19,1,0,0,2
1398174,1398753,579,0,0,1,2
1398174,1398764,590,0,0,1,1
1398754,1399014,260,1,0,0,2
1398765,1399061,296,1,0,0,1
1398785,1399033,248,0,1,0,1
1398800,1398969,169,0,1,0,2
1399015,1399176,161,0,0,1,2
1399062,1399175,113,0,0,1,1
1399176,1399214,38,1,0,0,1
1399177,1399224,47,1,0,0,2
1399215,1399905,690,0,0,1,1
1399225,1399909,684,0,0,1,2
1399906,1400132,226,1,0,0,1
1399910,1400127,217,1,0,0,2
1399927,1400109,182,0,1,0,1
1399935,1400072,137,0,1,0,2
1400128,1400206,78,0,0,1,2
1400133,1400206,73,0,0,1,1
1400207,1400231,24,1,0,0,2
1400207,1400232,25,1,0,0,1
1400232,1400876,644,0,0,1,2
1400233,1400881,648,0,0,1,1
1400877,1401153,276,1,0,0,2
1400882,1401118,236,1,0,0,1
1400898,1401088,190,0,1,0,1
1400904,1401090,186,0,1,0,2
1401119,1401232,113,0,0,1,1
1401154,1401235,81,0,0,1,2
1401233,1401265,32,1,0,0,1
1401236,1401266,30,1,0,0,2
1401266,1401503,237,0,0,1,1
1401267,1401503,236,0,0,1,2
1401504,1401623,119,1,0,0,1
1401504,1402069,565,1,0,0,2
1401602,1401760,158,0,1,0,2
1401624,1401732,108,0,0,1,1
1401733,1401778,45,1,0,0,1
1401779,1401882,103,0,0,1,1
1401883,1402072,189,1,0,0,1
1401904,1402052,148,0,1,0,1
1401913,1402025,112,0,1,0,2
1402070,1402298,228,0,0,1,2
1402073,1402296,223,0,0,1,1
1402297,1402315,18,1,0,0,1
1402299,1402317,18,1,0,0,2
1402316,1403616,1300,0,0,1,1
1402318,1403619,1301,0,0,1,2
1403617,1403835,218,1,0,0,1
1403620,1403800,180,1,0,0,2
1403641,1403783,142,0,1,0,1
1403647,1403760,113,0,1,0,2
1403801,1403822,21,0,0,1,2
1403823,1403827,4,1,0,0,2
1403828,1404788,960,0,0,1,2
1403836,1403991,155,0,0,1,1
1403992,1404002,10,1,0,0,1
1404003,1404779,776,0,0,1,1
1404780,1405043,263,1,0,0,1
1404789,1405013,224,1,0,0,2
1404806,1404992,186,0,1,0,1
1404813,1404959,146,0,1,0,2
1405014,1405103,89,0,0,1,2
1405044,1405104,60,0,0,1,1
1405104,1405121,17,1,0,0,2
1405105,1405123,18,1,0,0,1
1405122,1405744,622,0,0,1,2
1405124,1405718,594,0,0,1,1
1405719,1406066,347,1,0,0,1
1405745,1406103,358,1,0,0,2
1405763,1406019,256,0,1,0,1
1405771,1406006,235,0,1,0,2
1406067,1406751,684,0,0,1,1
1406104,1406769,665,0,0,1,2
1406752,1407248,496,1,0,0,1
1406770,1407236,466,1,0,0,2
1406788,1407122,334,0,1,0,1
1406796,1407187,391,0,1,0,2
1407152,1407161,9,0,1,0,1
1407237,1407393,156,0,0,1,2
1407249,1407391,142,0,0,1,1
1407392,1407414,22,1,0,0,1
1407394,1407413,19,1,0,0,2
1407414,1407630,216,0,0,1,2
1407415,1407629,214,0,0,1,1
1407630,1408065,435,1,0,0,1
1407631,1408066,435,1,0,0,2
1407682,1408054,372,0,1,0,1
1407688,1408009,321,0,1,0,2
1408066,1408200,134,0,0,1,1
1408067,1408198,131,0,0,1,2
1408199,1408232,33,1,0,0,2
1408201,1408224,23,1,0,0,1
1408225,1408864,639,0,0,1,1
1408233,1408857,624,0,0,1,2
1408858,1409039,181,1,0,0,2
1408865,1409055,190,1,0,0,1
1408879,1409008,129,0,1,0,1
1408888,1408984,96,0,1,0,2
1409040,1409208,168,0,0,1,2
1409056,1409208,152,0,0,1,1
1409209,1409213,4,1,0,0,1
1409209,1409213,4,1,0,0,2
1409214,1409627,413,0,0,1,1
1409214,1409637,423,0,0,1,2
1409628,1409904,276,1,0,0,1
1409638,1409937,299,1,0,0,2
1409658,1409867,209,0,1,0,1
1409666,1409857,191,0,1,0,2
1409905,1410175,270,0,0,1,1
1409938,1410177,239,0,0,1,2
1410176,1410200,24,1,0,0,1
1410178,1410201,23,1,0,0,2
1410201,1410657,456,0,0,1,1
1410202,1410670,468,0,0,1,2
1410658,1410999,341,1,0,0,1
1410671,1411010,339,1,0,0,2
1410690,1410960,270,0,1,0,1
1410695,1410932,237,0,1,0,2
1411000,1411039,39,0,0,1,1
1411011,1411038,27,0,0,1,2
1411039,1411075,36,1,0,0,2
1411040,1411072,32,1,0,0,1
1411073,1412096,1023,0,0,1,1
1411076,1411371,295,0,0,1,2
1411372,1411379,7,1,0,0,2
1411380,1412107,727,0,0,1,2
1412097,1412446,349,1,0,0,1
1412108,1412425,317,1,0,0,2
1412123,1412362,239,0,1,0,1
1412127,1412337,210,0,1,0,2
1412426,1413077,651,0,0,1,2
1412447,1413077,630,0,0,1,1
1413078,1414467,1389,1,0,0,2
1413078,1414491,1413,1,0,0,1
1413126,1414480,1354,0,1,0,1
1413135,1414441,1306,0,1,0,2
1414468,1414644,176,0,0,1,2
1414492,1414643,151,0,0,1,1
1414644,1414671,27,1,0,0,1
1414645,1414681,36,1,0,0,2
1414672,1415365,693,0,0,1,1
1414682,1415366,684,0,0,1,2
1415366,1416567,1201,1,0,0,1
1415367,1416533,1166,1,0,0,2
1415387,1416519,1132,0,1,0,1
1415397,1416500,1103,0,1,0,2
1416534,1416650,116,0,0,1,2
