participant,trial,tar_size,sacc_ampl,fix_x_deg,fix_y_deg,tar_x_deg,tar_y_deg,fix_x_px,fix_y_px,tar_x_px,tar_y_px,time_fix_on,time_fix_go,time_tar_on,time_tar_off,time_trial_end
1,1,5,10,10,-10,8.1,-0.18,1627,1147,1561,806,5167937,5169633,5170641,5172668,5174669
1,2,2,5,-10,-10,-5.29,-11.69,933,1147,1096,1206,5174695,5175640,5176399,5178415,5180166
1,3,3,10,0,-10,-5.74,-1.81,1280,1147,1081,863,5180174,5181132,5181516,5183532,5184908
1,4,3,5,-10,-10,-5.24,-11.54,933,1147,1098,1201,5184932,5185782,5186041,5188057,5189307
1,5,4,5,-10,10,-7.36,5.75,933,453,1024,600,5189341,5190365,5191000,5193026,5194653
1,6,2,10,-10,0,-1.94,-5.92,933,800,1213,1006,5194673,5195631,5196265,5198281,5199907
1,7,1,10,0,10,-1.47,0.11,1280,453,1229,796,5199934,5201064,5201323,5203339,5204590
1,8,2,5,0,-10,1.66,-5.28,1280,1147,1338,984,5204609,5205731,5205990,5208010,5209260
1,9,3,5,0,10,1.23,5.15,1280,453,1323,621,5209285,5211331,5212089,5214109,5215859
1,10,5,10,10,-10,12.14,-0.23,1627,1147,1702,808,5215885,5217272,5217781,5219799,5221300
1,11,4,10,-10,10,-7.79,0.25,933,453,1009,791,5221325,5222305,5222564,5224583,5225833
1,12,1.5,10,10,0,5.29,8.82,1627,800,1464,494,5225858,5226713,5227597,5229616,5231491
1,13,0.5,10,-10,10,-2.14,16.18,933,453,1206,238,5231514,5232446,5233455,5235476,5237476
1,14,2,5,10,10,6.08,13.11,1627,453,1491,345,5237500,5238496,5238755,5240774,5242024
1,15,0.5,5,10,-10,6.19,-13.24,1627,1147,1495,1260,5242050,5242954,5243213,5245232,5246483
1,16,5,10,10,-10,1.08,-5.48,1627,1147,1318,990,5246513,5247529,5248038,5250064,5251564
1,17,1.5,5,10,10,5.07,10.83,1627,453,1456,424,5251590,5252454,5253213,5255238,5256988
1,18,5,5,-10,0,-9.52,4.98,933,800,949,627,5257012,5259045,5260054,5262080,5264080
1,19,2,5,-10,-10,-11.04,-5.11,933,1147,897,977,5264115,5265479,5266362,5268379,5270254
1,20,1.5,5,0,0,-0.63,-4.96,1280,800,1258,972,5270287,5271828,5272712,5274738,5276613
1,21,5,10,10,10,6.32,0.7,1627,453,1499,776,5276647,5277545,5278303,5280329,5282079
1,22,3,10,-10,0,-0.2,-1.99,933,800,1273,869,5282104,5282936,5283945,5285970,5287971
1,23,4,10,0,0,-0.66,-9.98,1280,800,1257,1147,5288003,5288853,5289236,5291269,5292644
1,24,2,5,-10,-10,-5.16,-8.76,933,1147,1101,1104,5292670,5293744,5294252,5296278,5297779
1,25,4,5,-10,-10,-5.88,-12.83,933,1147,1076,1246,5297814,5299044,5299927,5301953,5303828
1,26,2,10,10,10,0.04,10.92,1627,453,1281,421,5303853,5304985,5305744,5307770,5309520
1,27,0.5,5,10,-10,5.38,-8.08,1627,1147,1467,1081,5309553,5310560,5311193,5313220,5314845
1,28,3,5,-10,-10,-5.67,-12.5,933,1147,1083,1234,5314885,5315935,5316318,5318344,5319719
1,29,1.5,10,-10,-10,-10.92,-0.04,933,1147,901,801,5470606,5471570,5472454,5474470,5476346
1,30,4,10,10,-10,2.47,-16.58,1627,1147,1366,1376,5476373,5477353,5478237,5480253,5482129
1,31,5,5,-10,-10,-5.68,-12.52,933,1147,1083,1235,5482154,5483161,5483795,5485811,5487437
1,32,1.5,10,10,0,0.17,-1.82,1627,800,1286,863,5487456,5488436,5489195,5491211,5492961
1,33,5,10,10,-10,10.96,-0.05,1627,1147,1661,802,5492982,5494044,5494678,5496694,5498320
1,34,2,10,-10,-10,-6.77,-0.54,933,1147,1045,819,5498336,5499302,5499936,5501953,5503578
1,35,1,5,0,10,4.96,9.39,1280,453,1452,474,5503598,5504319,5505202,5507219,5509094
1,36,3,10,10,-10,13.59,-0.67,1627,1147,1752,823,5509114,5509944,5510577,5512598,5514223
1,37,3,5,0,0,-3.31,3.74,1280,800,1165,670,5514247,5515019,5515277,5517296,5518546
1,38,1,5,-10,0,-5,0.08,933,800,1106,797,5518572,5519277,5519910,5521929,5523554
1,39,0.5,5,0,10,1.94,5.39,1280,453,1348,613,5523581,5524393,5525152,5527171,5528921
1,40,1.5,10,0,10,-9.74,7.75,1280,453,942,531,5528944,5529868,5530877,5532896,5534896
1,41,5,5,-10,10,-5,9.97,933,453,1106,454,5534922,5535909,5536793,5538812,5540687
1,42,0.5,5,-10,0,-9,-4.9,933,800,967,970,5540718,5541643,5542401,5544420,5546171
1,43,3,5,10,0,8.48,-4.76,1627,800,1574,965,5546196,5547117,5547626,5549652,5551152
1,44,3,5,0,-10,2.46,-5.65,1280,1147,1366,996,5551218,5552151,5553159,5555185,5557185
