participant,trial,tar_size,sacc_ampl,fix_x_deg,fix_y_deg,tar_x_deg,tar_y_deg,fix_x_px,fix_y_px,tar_x_px,tar_y_px,time_fix_on,time_fix_go,time_tar_on,time_tar_off,time_trial_end
1,45,1.5,5,10,0,5.24,1.53,1627,800,1462,747,5557217,5558058,5558942,5560968,5562843
1,46,2,10,0,0,-5.01,8.65,1280,800,1106,499,5562879,5563717,5563975,5566001,5567251
1,47,5,5,10,0,8.43,4.75,1627,800,1573,635,5567268,5568466,5568850,5570876,5572251
1,48,0.5,10,0,10,3.98,0.83,1280,453,1418,771,5572279,5573208,5574091,5576118,5577993
1,49,2,5,10,0,6.56,3.63,1627,800,1508,674,5578033,5578924,5579558,5581584,5583209
1,50,0.5,5,10,0,6.44,-3.51,1627,800,1504,922,5583243,5583933,5584941,5586967,5588967
1,51,4,5,-10,10,-5.04,9.39,933,453,1105,474,5588991,5590074,5590707,5592733,5594358
1,52,5,5,10,10,10.09,5,1627,453,1630,626,5594399,5595382,5596265,5598291,5600167
1,53,4,5,-10,0,-8.77,-4.85,933,800,975,968,5600203,5601140,5601524,5603549,5604925
1,54,2,5,0,0,-4.3,-2.56,1280,800,1131,889,5604949,5605848,5606732,5608758,5610633
1,55,0.5,10,0,0,-9.95,0.96,1280,800,934,767,5610656,5611665,5611923,5613949,5615199
1,56,2,10,-10,10,-9.66,0.01,933,453,944,800,5615233,5616223,5617106,5619132,5621007
1,57,1.5,10,0,0,-5.63,8.26,1280,800,1084,513,5753792,5754909,5755418,5757434,5758934
1,58,1.5,10,-10,10,-13.92,0.8,933,453,796,772,5758955,5760017,5760775,5762792,5764542
1,59,1.5,5,0,10,-1.06,5.11,1280,453,1243,622,5764550,5765734,5766117,5768134,5769509
1,60,0.5,10,-10,-10,-7.96,-0.21,933,1147,1004,807,5769527,5770483,5771492,5773508,5775509
1,61,2,10,10,0,1.36,5.04,1627,800,1327,625,5775528,5776500,5776883,5778900,5780275
1,62,4,10,-10,-10,-0.61,-13.43,933,1147,1259,1267,5780283,5781175,5782184,5784200,5786200
1,63,0.5,5,0,-10,2.49,-5.67,1280,1147,1367,997,5786216,5787158,5787916,5789933,5791683
1,64,2,5,0,0,-2.3,-4.44,1280,800,1200,954,5791691,5792708,5792966,5794982,5796233
1,65,0.5,10,-10,10,-0.12,8.47,933,453,1276,506,5796244,5797341,5798099,5800110,5801860
1,66,1,5,10,10,5.05,9.28,1627,453,1455,478,5801886,5802799,5803557,5805576,5807326
1,67,1,10,0,0,-1.52,-9.88,1280,800,1227,1143,5807349,5808299,5809182,5811193,5813068
1,68,3,10,0,0,-2.25,9.74,1280,800,1202,462,5813094,5813873,5814632,5816651,5818401
1,69,0.5,10,-10,0,-4.29,-8.21,933,800,1131,1085,5818428,5819306,5820065,5822084,5823835
1,70,1,10,0,0,-7.14,-7,1280,800,1032,1043,5823865,5824698,5825581,5827609,5829484
1,71,1.5,5,0,10,-3.69,6.63,1280,453,1152,570,5829515,5830323,5830706,5832725,5834101
1,72,1.5,10,0,0,-9.32,3.61,1280,800,956,674,5834123,5835081,5835339,5837365,5838615
1,73,4,10,-10,10,-0.18,8.13,933,453,1274,518,5838640,5839656,5839914,5841940,5843190
1,74,2,10,10,0,2.54,-6.66,1627,800,1368,1031,5843223,5844039,5844548,5846573,5848073
1,75,4,5,-10,0,-9.8,5,933,800,939,626,5848106,5848880,5849389,5851415,5852915
1,76,2,10,0,-10,4.23,-0.94,1280,1147,1427,833,5852939,5853755,5854764,5856789,5858789
1,77,5,5,10,-10,10.54,-5.03,1627,1147,1646,975,5858817,5859822,5860080,5862106,5863356
1,78,0.5,5,10,-10,5.05,-10.73,1627,1147,1456,1173,5863390,5864405,5864663,5866681,5867931
1,79,4,10,0,0,-0.17,-10,1280,800,1274,1147,5867966,5868979,5869488,5871514,5873014
1,80,3,5,10,0,5.38,1.91,1627,800,1467,734,5873050,5874329,5874713,5876739,5878114
1,81,1,10,-10,-10,-5.91,-0.87,933,1147,1075,830,5878139,5879304,5879938,5881963,5883589
1,82,5,5,0,0,-1.6,-4.74,1280,800,1225,965,5883621,5884787,5885171,5887197,5888572
1,83,3,5,10,10,5.31,11.74,1627,453,1464,392,5888605,5889487,5889871,5891896,5893271
1,84,1.5,5,10,10,12.94,5.95,1627,453,1729,593,5893295,5894245,5894754,5896779,5898280
1,85,0.5,10,-10,0,-1.55,-5.35,933,800,1226,986,6038692,6039781,6040164,6042181,6043556
1,86,4,5,10,10,5.12,8.9,1627,453,1458,491,6043577,6044531,6044790,6046806,6048056
1,87,1,5,10,10,6.51,6.42,1627,453,1506,577,6048074,6049064,6049697,6051714,6053339
1,88,2,5,0,0,-4.85,-1.2,1280,800,1111,842,6053360,6054272,6054781,6056797,6058297
1,89,2,10,10,10,7.49,0.32,1627,453,1540,789,6058318,6059364,6059997,6062014,6063639
1,90,1.5,5,-10,0,-5.17,-1.27,933,800,1101,844,6063659,6064555,6065063,6067080,6068580
1,91,4,5,0,10,-4.09,7.13,1280,453,1138,552,6068598,6069521,6069905,6071921,6073297
1,92,0.5,10,0,-10,9.37,-6.51,1280,1147,1606,1026,6073317,6074371,6074755,6076774,6078150
1,93,5,5,10,0,6.1,3.13,1627,800,1492,691,6078172,6079088,6079971,6081991,6083866
1,94,0.5,5,10,10,11.95,5.39,1627,453,1695,613,6083888,6084871,6085630,6087648,6089398
1,95,4,5,-10,10,-6.24,13.3,933,453,1063,338,6089421,6090362,6090996,6093024,6094649
1,96,1,5,0,-10,-0.41,-5.02,1280,1147,1266,974,6094680,6095704,6096712,6098740,6100740
1,97,3,10,0,-10,2.76,-0.39,1280,1147,1376,814,6100766,6101770,6102654,6104673,6106548
1,98,4,10,-10,10,-0.04,9.15,933,453,1279,482,6106571,6107612,6108620,6110646,6112646
1,99,1,5,0,-10,-0.58,-5.03,1280,1147,1260,975,6112680,6113653,6114537,6116556,6118431
1,100,1,10,0,-10,-4.1,-0.88,1280,1147,1137,831,6118454,6119786,6120170,6122196,6123571
1,101,0.5,10,-10,-10,-8.04,-0.19,933,1147,1001,807,6123598,6124544,6125178,6127203,6128829
1,102,2,5,-10,10,-9.06,5.09,933,453,965,623,6128853,6129827,6130586,6132612,6134362
1,103,1.5,10,0,-10,-5.22,-1.47,1280,1147,1099,851,6134395,6135444,6136452,6138478,6140478
1,104,4,5,0,0,-1.09,4.88,1280,800,1242,631,6140514,6141460,6142469,6144495,6146495
1,105,1,10,-10,0,-2.59,-6.71,933,800,1190,1033,6146519,6147510,6147894,6149919,6151294
1,106,0.5,5,0,-10,3.63,-6.56,1280,1147,1406,1028,6151319,6152285,6152668,6154694,6156069
1,107,3,10,0,10,-9.96,9.12,1280,453,934,483,6156118,6157093,6157851,6159877,6161628
1,108,3,5,-10,0,-5.89,2.85,933,800,1075,701,6161663,6162443,6163451,6165477,6167477
1,109,5,5,-10,0,-8.53,4.78,933,800,984,634,6167502,6168426,6169435,6171460,6173460
1,110,1,5,-10,-10,-5.01,-10.33,933,1147,1106,1159,6173485,6174834,6175092,6177118,6178369
1,111,2,10,10,10,10.55,0.02,1627,453,1647,799,6178401,6179775,6180284,6182310,6183810
1,112,5,10,10,-10,3.27,-2.6,1627,1147,1394,890,6183838,6184933,6185942,6187968,6189968
1,113,1.5,10,0,-10,-6.56,-2.45,1280,1147,1052,885,6351219,6354052,6354685,6356702,6358327
1,114,5,5,0,-10,-2.63,-5.75,1280,1147,1189,1000,6358347,6359268,6359527,6361543,6362793
1,115,1,5,10,0,5.46,-2.1,1627,800,1470,873,6362801,6363668,6364677,6366693,6368693
1,116,3,5,10,0,5.62,2.41,1627,800,1475,716,6368701,6369901,6370160,6372176,6373426
1,117,1,10,0,10,-0.1,0,1280,453,1277,800,6373444,6374576,6375335,6377351,6379101
1,118,5,10,0,10,-1.66,0.14,1280,453,1222,795,6379121,6380451,6380959,6382976,6384476
1,119,4,10,10,-10,9.84,-0,1627,1147,1622,800,6384484,6385700,6386584,6388600,6390476
1,120,5,10,-10,0,-0.49,-3.08,933,800,1263,907,6390519,6391542,6391925,6393945,6395320
1,121,1,10,-10,10,-0.16,8.21,933,453,1274,515,6395337,6396342,6396600,6398619,6399869
1,122,4,5,0,0,-3.77,3.28,1280,800,1149,686,6399896,6401208,6401717,6403736,6405236
1,123,1.5,5,-10,10,-6.52,6.41,933,453,1054,577,6405268,6406483,6406991,6409002,6410503
1,124,3,10,0,10,-2.99,0.46,1280,453,1176,784,6410519,6411525,6412033,6414052,6415552
1,125,1,5,-10,-10,-5.46,-12.11,933,1147,1090,1220,6415574,6417183,6417691,6419711,6421212
1,126,1,10,-10,0,-9.4,9.98,933,800,954,453,6421233,6422191,6423074,6425093,6426968
1,127,0.5,5,0,-10,1.12,-5.13,1280,1147,1319,978,6426994,6428132,6428516,6430543,6431918
1,128,0.5,10,-10,10,-0.12,11.52,933,453,1276,400,6431933,6433057,6433565,6435591,6437091
1,129,1.5,10,10,10,8.18,0.17,1627,453,1564,794,6437115,6438082,6438590,6440616,6442117
1,130,3,10,10,-10,1.18,-5.29,1627,1147,1321,984,6442141,6443098,6444107,6446133,6448133
1,131,1.5,5,10,-10,7.92,-5.45,1627,1147,1555,989,6448156,6449123,6449881,6451907,6453657
1,132,5,10,0,10,10,9.78,1280,453,1627,460,6453681,6455014,6456023,6458049,6460049
1,133,1,5,0,0,-0.34,4.99,1280,800,1268,627,6460073,6461556,6462189,6464222,6465848
1,134,5,10,10,0,0.85,4.02,1627,800,1309,660,6465872,6466889,6467523,6469548,6471173
1,135,1,10,10,-10,1.53,-15.32,1627,1147,1333,1332,6471197,6472305,6473064,6475090,6476840
1,136,3,10,0,10,-3.22,0.53,1280,453,1168,781,6476863,6477830,6478214,6480239,6481614
1,137,3,10,10,0,0.04,-0.93,1627,800,1281,832,6481638,6482547,6483055,6485081,6486581
1,138,1.5,5,10,10,5.53,12.23,1627,453,1472,375,6486613,6487513,6488147,6490172,6491798
1,139,4,10,0,0,-1.83,-9.83,1280,800,1216,1141,6491822,6492855,6493113,6495139,6496389
1,140,4,10,0,0,-9.89,1.49,1280,800,937,748,6496413,6497329,6497963,6499989,6501614
2,1,1.5,10,-10,-10,-0.63,-6.5,933,1147,1258,1026,2788132,2793440,2794200,2796226,2797977
2,2,4,10,-10,10,-0.03,10.71,933,453,1279,428,2797999,2800049,2800933,2802948,2804824
2,3,5,10,-10,-10,-14.37,-1.01,933,1147,781,835,2804840,2806556,2806815,2808831,2810082
2,4,0.5,10,0,0,-5.19,-8.55,1280,800,1100,1097,2810106,2811356,2811990,2814006,2815632
2,5,2,10,-10,10,-16.56,2.45,933,453,705,715,2815674,2816806,2817691,2819717,2821594
2,6,0.5,5,0,-10,4.45,-7.72,1280,1147,1435,1068,2821631,2823422,2824056,2826072,2827698
2,7,0.5,10,10,-10,16.91,-2.77,1627,1147,1867,896,2827718,2829005,2829264,2831280,2832530
2,8,1,10,10,-10,1.1,-5.43,1627,1147,1318,989,2832548,2833422,2834431,2836447,2838447
2,9,1.5,5,-10,-10,-7.83,-5.5,933,1147,1008,991,2838455,2839230,2839989,2842005,2843755
2,10,0.5,10,0,0,-3.38,9.41,1280,800,1163,473,2843790,2844521,2845280,2847299,2849050
2,11,0.5,10,10,10,2.83,3.03,1627,453,1378,695,2849084,2850696,2851080,2853099,2854474
2,12,3,5,-10,10,-11.99,5.41,933,453,864,612,2854500,2856371,2857254,2859274,2861149
2,13,0.5,10,0,0,-3.18,-9.48,1280,800,1169,1129,2861189,2862354,2862738,2864757,2866132
2,14,3,10,-10,10,-0.43,12.89,933,453,1265,352,2866154,2867395,2868029,2870057,2871682
2,15,0.5,10,-10,0,-8.21,9.84,933,800,995,458,2871722,2872962,2873721,2875740,2877490
2,16,4,10,10,0,6.37,9.32,1627,800,1501,476,2877516,2878578,2879587,2881606,2883607
2,17,1.5,10,0,0,-7.76,-6.31,1280,800,1011,1019,2883645,2884703,2884962,2886989,2888240
2,18,4,10,0,10,9.71,7.62,1280,453,1617,535,2888263,2889486,2890370,2892396,2894271
2,19,5,5,10,-10,10.44,-5.02,1627,1147,1643,974,2894304,2896803,2897312,2899337,2900837
2,20,4,5,10,10,5.84,12.77,1627,453,1483,356,2900871,2902236,2902620,2904645,2906020
2,21,0.5,5,10,0,5.39,1.93,1627,800,1467,733,2906052,2907436,2908319,2910345,2912220
2,22,1,5,10,0,8.79,4.85,1627,800,1585,631,2912253,2914285,2914669,2916695,2918070
2,23,1,5,-10,10,-10.19,5,933,453,926,626,2918110,2919493,2920252,2922278,2924028
2,24,1,10,10,-10,0.75,-13.81,1627,1147,1306,1280,2924060,2926035,2926293,2928319,2929569
2,25,5,10,0,0,-9.93,1.19,1280,800,935,759,2929610,2931293,2932052,2934077,2935828
2,26,1.5,10,10,0,3.42,7.53,1627,800,1399,539,2935860,2937684,2938193,2940219,2941719
2,27,5,5,-10,10,-5.12,11.07,933,453,1102,415,2941762,2942851,2943234,2945260,2946635
2,28,4,5,0,0,-4.39,2.38,1280,800,1127,717,2946676,2947842,2948351,2950377,2951877
2,29,5,10,-10,-10,-0.12,-11.54,933,1147,1276,1201,3163401,3166758,3167267,3169284,3170784
2,30,5,5,-10,-10,-5.82,-12.74,933,1147,1078,1243,3170800,3172850,3173235,3175250,3176625
2,31,2,10,10,-10,7.98,-0.21,1627,1147,1557,807,3176650,3178016,3179025,3181041,3183041
2,32,1.5,5,-10,10,-6.02,6.97,933,453,1071,558,3183049,3184391,3185149,3187166,3188916
2,33,4,5,10,10,5.22,8.54,1627,453,1461,503,3188942,3190191,3190574,3192591,3193966
2,34,3,5,0,-10,-2.17,-5.5,1280,1147,1205,991,3193995,3195249,3196258,3198274,3200274
2,35,1,5,10,10,11.4,5.2,1627,453,1676,619,3200301,3201832,3202216,3204232,3205607
2,36,3,10,0,-10,-9.58,-7.12,1280,1147,947,1047,3205641,3207498,3208132,3210148,3211774
2,37,1.5,10,10,10,10.71,0.03,1627,453,1652,799,3211794,3213340,3214223,3216240,3218115
2,38,2,10,0,10,-4.48,1.06,1280,453,1124,763,3218135,3219606,3220489,3222501,3224376
2,39,1,10,0,10,9.72,7.64,1280,453,1618,535,3224402,3225731,3226739,3228759,3230759
2,40,5,10,0,-10,6.51,-2.41,1280,1147,1506,884,3230785,3232381,3233139,3235158,3236908
2,41,2,5,-10,-10,-5.23,-11.49,933,1147,1098,1199,3236925,3238355,3238989,3241018,3242643
2,42,1,5,10,-10,9.83,-5,1627,1147,1621,974,3242664,3244714,3245097,3247126,3248501
2,43,5,10,10,10,13.34,0.57,1627,453,1743,780,3248523,3250572,3251205,3253234,3254859
2,44,5,5,-10,0,-6.19,3.24,933,800,1065,688,3254888,3256571,3257580,3259608,3261608
2,45,0.5,5,-10,0,-7.72,-4.45,933,800,1012,955,3261647,3263079,3263838,3265867,3267617
2,46,2,5,-10,-10,-6.58,-6.36,933,1147,1052,1021,3267646,3269213,3269971,3271997,3273747
2,47,4,10,10,-10,9.49,-0.01,1627,1147,1610,800,3273782,3275521,3276529,3278555,3280555
2,48,2,5,10,0,8.15,-4.65,1627,800,1563,961,3280583,3281895,3282529,3284555,3286180
2,49,3,10,0,0,-3.37,9.41,1280,800,1163,473,3286203,3287770,3288279,3290305,3291805
2,50,0.5,10,0,-10,-9.95,-9.02,1280,1147,934,1113,3291837,3292962,3293720,3295746,3297496
2,51,3,5,10,0,8.13,-4.64,1627,800,1562,961,3297520,3299753,3300012,3302037,3303288
2,52,2,10,10,10,13.12,0.5,1627,453,1736,783,3303337,3305228,3305612,3307637,3309012
2,53,2,5,10,10,5.22,11.46,1627,453,1461,402,3309054,3310869,3311878,3313904,3315904
2,54,1.5,10,-10,10,-0.51,6.86,933,453,1262,562,3315929,3317636,3317894,3319920,3321170
2,55,1.5,5,0,10,0.1,5,1280,453,1283,626,3321220,3323260,3324144,3326170,3328045
2,56,2,10,10,10,0.7,13.67,1627,453,1304,325,3328079,3330177,3330435,3332461,3333711
2,57,5,5,-10,-10,-12.95,-5.96,933,1147,830,1007,3507129,3509819,3510453,3512469,3514095
2,58,1.5,5,-10,0,-5.33,-1.79,933,800,1095,862,3514111,3515869,3516753,3518769,3520644
2,59,2,5,0,10,-4.49,7.8,1280,453,1124,529,3520661,3522894,3523528,3525544,3527169
2,60,0.5,10,0,0,-1.24,9.92,1280,800,1237,455,3527186,3528810,3529819,3531835,3533836
2,61,3,5,0,-10,3.74,-6.68,1280,1147,1410,1032,3533852,3535502,3536135,3538152,3539777
2,62,2,5,-10,-10,-5.13,-8.89,933,1147,1102,1109,3539793,3542402,3543410,3545426,3547427
2,63,4,5,-10,10,-5.46,7.92,933,453,1091,525,3547452,3549068,3549702,3551718,3553343
2,64,5,5,0,0,-4.75,-1.56,1280,800,1115,854,3553377,3554868,3555126,3557143,3558393
2,65,2,5,0,-10,1.63,-5.27,1280,1147,1337,983,3558409,3560209,3561093,3563109,3564984
2,66,0.5,5,-10,0,-7.35,4.24,933,800,1025,653,3565019,3567025,3568034,3570053,3572053
2,67,1,10,10,0,8.95,9.94,1627,800,1591,455,3572070,3574100,3574734,3576753,3578378
2,68,5,10,10,10,0.41,12.83,1627,453,1294,354,3578395,3580817,3581700,3583719,3585595
2,69,0.5,5,0,10,2.59,5.72,1280,453,1370,601,3585634,3587858,3588116,3590136,3591386
2,70,1.5,5,0,0,-2.4,-4.39,1280,800,1197,952,3591408,3593316,3593700,3595727,3597103
2,71,5,5,0,-10,3.85,-6.81,1280,1147,1414,1037,3597127,3599149,3599658,3601683,3603183
2,72,1,5,0,0,-2.26,4.46,1280,800,1202,645,3603202,3604949,3605332,3607352,3608727
2,73,1.5,5,0,-10,4.87,-8.86,1280,1147,1449,1108,3608766,3611865,3612499,3614525,3616150
2,74,1.5,5,0,0,-2.5,4.33,1280,800,1193,650,3616183,3618082,3618340,3620366,3621616
2,75,0.5,10,0,0,-8.81,4.72,1280,800,974,636,3621657,3623965,3624474,3626499,3627999
2,76,2,5,-10,-10,-9.19,-5.07,933,1147,961,976,3628023,3629990,3630373,3632399,3633774
2,77,1,10,0,0,-1.01,9.95,1280,800,1245,454,3633809,3635531,3636165,3638190,3639816
2,78,1,5,10,0,5.77,-2.67,1627,800,1480,893,3639856,3642031,3643040,3645065,3647065
2,79,3,5,-10,-10,-9.95,-5,933,1147,935,974,3647093,3649205,3649589,3651615,3652990
2,80,1,10,-10,10,-5.12,1.27,933,453,1102,756,3653015,3655880,3656889,3658914,3660915
2,81,1,5,0,10,-4.82,8.66,1280,453,1113,499,3660964,3663655,3664039,3666064,3667440
2,82,2,10,0,0,-7.85,6.2,1280,800,1007,585,3667481,3669913,3670171,3672197,3673448
2,83,4,5,10,-10,6.05,-13.07,1627,1147,1490,1254,3673488,3675796,3676305,3678330,3679830
2,84,2,5,-10,-10,-5.11,-8.97,933,1147,1103,1112,3679863,3681779,3682288,3684313,3685814
2,85,5,5,10,-10,5.11,-11.05,1627,1147,1458,1184,3866017,3868705,3869088,3871105,3872480
2,86,2,10,10,-10,14.46,-1.05,1627,1147,1782,837,3872497,3873863,3874747,3876763,3878638
2,87,1,5,10,0,5.05,0.69,1627,800,1455,776,3878655,3879630,3880388,3882404,3884155
2,88,3,10,0,-10,-7.97,-3.96,1280,1147,1003,938,3884175,3885313,3885696,3887713,3889088
2,89,1.5,5,10,-10,5.04,-9.34,1627,1147,1455,1125,3889108,3890737,3891121,3893137,3894513
2,90,2,10,-10,0,-2.1,-6.13,933,800,1207,1013,3894538,3895804,3896063,3898079,3899329
2,91,2,10,0,10,8.68,5.03,1280,453,1581,625,3899356,3900470,3901105,3903120,3904746
2,92,3,10,0,10,-7.32,3.18,1280,453,1026,689,3904770,3905762,3906020,3908037,3909287
2,93,5,10,-10,0,-0,-0.17,933,800,1280,806,3909321,3910620,3911129,3913145,3914645
2,94,4,10,0,-10,1.87,-0.18,1280,1147,1345,806,3914662,3915778,3916036,3918055,3919306
2,95,4,10,-10,-10,-10.19,-0,933,1147,926,800,3919332,3920411,3921295,3923314,3925189
2,96,1.5,5,10,-10,8.06,-5.39,1627,1147,1560,987,3925229,3926961,3927845,3929864,3931739
2,97,1,5,0,0,-1.82,4.66,1280,800,1217,638,3931761,3933061,3933819,3935839,3937589
2,98,4,10,10,0,6.04,9.18,1627,800,1490,481,3937619,3939319,3939953,3941972,3943597
2,99,4,5,-10,-10,-5,-10.1,933,1147,1106,1151,3943627,3945194,3945702,3947730,3949230
2,100,3,10,10,10,1.41,4.88,1627,453,1329,631,3949256,3950702,3951460,3953480,3955230
2,101,3,5,10,-10,8.74,-5.16,1627,1147,1583,979,3955260,3956735,3956993,3959019,3960269
2,102,0.5,10,10,0,1.26,-4.86,1627,800,1324,969,3960296,3961484,3962118,3964144,3965769
2,103,3,5,10,-10,13.48,-6.41,1627,1147,1748,1023,3965793,3967034,3967669,3969694,3971319
2,104,1,5,0,0,-4.2,2.72,1280,800,1134,706,3971360,3972559,3973068,3975094,3976594
2,105,0.5,5,10,0,5.99,-2.99,1627,800,1488,904,3976634,3977842,3978851,3980877,3982877
2,106,4,5,-10,0,-5.13,1.13,933,800,1102,761,3982910,3984567,3985451,3987476,3989351
2,107,1.5,10,-10,-10,-15.88,-1.91,933,1147,728,866,3989417,3990567,3991575,3993601,3995601
2,108,3,10,-10,10,-1.09,14.54,933,453,1242,295,3995653,3996891,3997150,3999176,4000426
2,109,0.5,5,-10,0,-7.5,-4.33,933,800,1020,950,4000451,4002091,4003100,4005126,4007126
2,110,5,5,0,10,3.29,6.24,1280,453,1394,583,4007159,4008508,4009016,4011042,4012542
2,111,3,5,10,0,8.67,4.82,1627,800,1581,633,4012575,4013957,4014466,4016492,4017992
2,112,2,5,-10,10,-5.34,11.81,933,453,1095,390,4018032,4019232,4019491,4021517,4022767
2,113,0.5,5,-10,10,-9.85,5,933,453,938,626,4172903,4176559,4177318,4179334,4181084
2,114,4,5,0,-10,-3.81,-6.76,1280,1147,1148,1035,4181111,4182867,4183876,4185892,4187892
2,115,1,10,0,0,-5.05,8.63,1280,800,1105,500,4187917,4189009,4189892,4191909,4193784
2,116,1.5,5,10,10,13.06,6.04,1627,453,1734,590,4193804,4195125,4196134,4198150,4200150
2,117,1,10,0,-10,-6.26,-2.21,1280,1147,1062,877,4200171,4201575,4202334,4204350,4206100
2,118,4,10,0,0,-9.62,2.73,1280,800,946,705,4206126,4207283,4208042,4210058,4211808
2,119,1,10,-10,0,-3.08,7.22,933,800,1173,549,4211829,4212899,4213660,4215708,4217459
2,120,5,5,0,0,-2.27,-4.45,1280,800,1201,955,4217492,4218674,4219308,4221324,4222949
2,121,2,10,0,10,-1.13,0.06,1280,453,1241,798,4222966,4224366,4225249,4227266,4229141
2,122,5,10,10,0,0.01,0.53,1627,800,1280,782,4229175,4230490,4231374,4233394,4235269
2,123,1.5,10,10,-10,1.76,-15.67,1627,1147,1341,1344,4235300,4236498,4236757,4238776,4240026
