start,end,duration,saccade,blink,fixation,eye
1518777,1519032,255,0,0,1,1
1518779,1519031,252,0,0,1,2
1519032,1519070,38,1,0,0,2
1519033,1519073,40,1,0,0,1
1519071,1519480,409,0,0,1,2
1519074,1519474,400,0,0,1,1
1519475,1519500,25,1,0,0,1
1519481,1519491,10,1,0,0,2
1519492,1521366,1874,0,0,1,2
1519501,1521706,2205,0,0,1,1
1521367,1521463,96,1,0,0,2
1521464,1521502,38,0,0,1,2
1521503,1521526,23,1,0,0,2
1521527,1521597,70,0,0,1,2
1521598,1521605,7,1,0,0,2
1521606,1521646,40,0,0,1,2
1521647,1521773,126,1,0,0,2
1521707,1521720,13,1,0,0,1
1521721,1521851,130,0,0,1,1
1521774,1521857,83,0,0,1,2
1521852,1521997,145,1,0,0,1
1521858,1522335,477,1,0,0,2
1521884,1521975,91,0,1,0,1
1521888,1521953,65,0,1,0,2
1521998,1522027,29,0,0,1,1
1522028,1522298,270,1,0,0,1
1522042,1522279,237,0,1,0,1
1522052,1522234,182,0,1,0,2
1522299,1522323,24,0,0,1,1
1522324,1522331,7,1,0,0,1
1522332,1522479,147,0,0,1,1
1522336,1522368,32,0,0,1,2
1522369,1522393,24,1,0,0,2
1522394,1522478,84,0,0,1,2
1522479,1522542,63,1,0,0,2
1522480,1522525,45,1,0,0,1
1522526,1522663,137,0,0,1,1
1522543,1522619,76,0,0,1,2
1522620,1522692,72,1,0,0,2
1522664,1522691,27,1,0,0,1
1522692,1523839,1147,0,0,1,1
1522693,1523841,1148,0,0,1,2
1523840,1523870,30,1,0,0,1
1523842,1523894,52,1,0,0,2
1523871,1524418,547,0,0,1,1
1523895,1524058,163,0,0,1,2
1524059,1524133,74,1,0,0,2
1524134,1524183,49,0,0,1,2
1524184,1524270,86,1,0,0,2
1524271,1524408,137,0,0,1,2
1524409,1524582,173,1,0,0,2
1524419,1524436,17,1,0,0,1
1524437,1524880,443,0,0,1,1
1524583,1525990,1407,0,0,1,2
1524881,1524890,9,1,0,0,1
1524891,1525988,1097,0,0,1,1
1525989,1527449,1460,1,0,0,1
1525991,1527472,1481,1,0,0,2
1526056,1527434,1378,0,1,0,1
1526066,1527443,1377,0,1,0,2
1527450,1527581,131,0,0,1,1
1527473,1527581,108,0,0,1,2
1527582,1527609,27,1,0,0,1
1527582,1527665,83,1,0,0,2
1527610,1528903,1293,0,0,1,1
1527666,1527712,46,0,0,1,2
1527713,1527763,50,1,0,0,2
1527764,1527849,85,0,0,1,2
1527850,1527974,124,1,0,0,2
1527975,1528077,102,0,0,1,2
1528078,1528094,16,1,0,0,2
1528095,1528309,214,0,0,1,2
1528310,1528376,66,1,0,0,2
1528377,1528507,130,0,0,1,2
1528508,1528523,15,1,0,0,2
1528524,1528904,380,0,0,1,2
1528904,1528981,77,1,0,0,1
1528905,1528971,66,1,0,0,2
1528972,1529118,146,0,0,1,2
1528982,1529119,137,0,0,1,1
1529119,1529162,43,1,0,0,2
1529120,1529167,47,1,0,0,1
1529163,1529357,194,0,0,1,2
1529168,1529356,188,0,0,1,1
1529357,1529367,10,1,0,0,1
1529358,1529367,9,1,0,0,2
1529368,1529733,365,0,0,1,1
1529368,1532573,3205,0,0,1,2
1529734,1529762,28,1,0,0,1
1529763,1531029,1266,0,0,1,1
1531030,1531047,17,1,0,0,1
1531048,1532575,1527,0,0,1,1
1532574,1532667,93,1,0,0,2
1532576,1532667,91,1,0,0,1
1532668,1532834,166,0,0,1,1
1532668,1532834,166,0,0,1,2
1532835,1532929,94,1,0,0,1
1532835,1532931,96,1,0,0,2
1532930,1533190,260,0,0,1,1
1532932,1533190,258,0,0,1,2
1533191,1533219,28,1,0,0,1
1533191,1533219,28,1,0,0,2
1533220,1533602,382,0,0,1,1
1533220,1533602,382,0,0,1,2
1533603,1533616,13,1,0,0,1
1533603,1533616,13,1,0,0,2
1533617,1535756,2139,0,0,1,1
1533617,1535757,2140,0,0,1,2
1535757,1535810,53,1,0,0,1
1535758,1535841,83,1,0,0,2
1535811,1535912,101,0,0,1,1
1535842,1535911,69,0,0,1,2
1535912,1535999,87,1,0,0,2
1535913,1535995,82,1,0,0,1
1535996,1536182,186,0,0,1,1
1536000,1536182,182,0,0,1,2
1536183,1536208,25,1,0,0,2
1536183,1536210,27,1,0,0,1
1536209,1536754,545,0,0,1,2
1536211,1536754,543,0,0,1,1
1536755,1536771,16,1,0,0,1
1536755,1536773,18,1,0,0,2
1536772,1538271,1499,0,0,1,1
1536774,1538272,1498,0,0,1,2
1538272,1538371,99,1,0,0,1
1538273,1538371,98,1,0,0,2
1538372,1538480,108,0,0,1,1
1538372,1538481,109,0,0,1,2
1538481,1538534,53,1,0,0,1
1538482,1538532,50,1,0,0,2
1538533,1538777,244,0,0,1,2
1538535,1538776,241,0,0,1,1
1538777,1538805,28,1,0,0,1
1538778,1538805,27,1,0,0,2
1538806,1540362,1556,0,0,1,1
1538806,1540362,1556,0,0,1,2
1540363,1540418,55,1,0,0,2
1540363,1540422,59,1,0,0,1
1540419,1540579,160,0,0,1,2
1540423,1540578,155,0,0,1,1
1540579,1540645,66,1,0,0,1
1540580,1540644,64,1,0,0,2
1540645,1540783,138,0,0,1,2
1540646,1540783,137,0,0,1,1
1540784,1540861,77,1,0,0,2
1540784,1540863,79,1,0,0,1
1540862,1541039,177,0,0,1,2
1540864,1541037,173,0,0,1,1
1541038,1541058,20,1,0,0,1
1541040,1541066,26,1,0,0,2
1541059,1542391,1332,0,0,1,1
1541067,1542391,1324,0,0,1,2
1542392,1542444,52,1,0,0,2
1542392,1542448,56,1,0,0,1
1542445,1542773,328,0,0,1,2
1542449,1542775,326,0,0,1,1
1542774,1542890,116,1,0,0,2
1542776,1542885,109,1,0,0,1
1542886,1543007,121,0,0,1,1
1542891,1543010,119,0,0,1,2
1543008,1543040,32,1,0,0,1
1543011,1543038,27,1,0,0,2
1543039,1543254,215,0,0,1,2
1543041,1543250,209,0,0,1,1
1543251,1543272,21,1,0,0,1
1543255,1543273,18,1,0,0,2
1543273,1543604,331,0,0,1,1
1543274,1543595,321,0,0,1,2
1543596,1543613,17,1,0,0,2
1543605,1543613,8,1,0,0,1
1543614,1543775,161,0,0,1,2
1543614,1544689,1075,0,0,1,1
1543776,1543784,8,1,0,0,2
1543785,1544687,902,0,0,1,2
1544688,1544746,58,1,0,0,2
1544690,1544744,54,1,0,0,1
1544745,1545150,405,0,0,1,1
1544747,1545150,403,0,0,1,2
1545151,1545216,65,1,0,0,2
1545151,1545217,66,1,0,0,1
1545217,1545638,421,0,0,1,2
1545218,1545638,420,0,0,1,1
1545639,1545649,10,1,0,0,1
