start,end,duration,saccade,blink,fixation,eye
22619320,22619580,260,1,0,0,2
22619321,22619437,116,0,1,0,2
22619327,22619474,147,0,1,0,1
22619531,22619531,0,0,0,1,1
22619532,22619559,27,1,0,0,1
22619560,22619603,43,0,0,1,1
22619581,22619605,24,0,0,1,2
22619604,22619652,48,1,0,0,1
22619606,22619666,60,1,0,0,2
22619653,22619753,100,0,0,1,1
22619667,22619750,83,0,0,1,2
22619751,22619781,30,1,0,0,2
22619754,22619782,28,1,0,0,1
22619782,22619961,179,0,0,1,2
22619783,22619963,180,0,0,1,1
22619962,22619970,8,1,0,0,2
22619964,22619973,9,1,0,0,1
22619971,22620741,770,0,0,1,2
22619974,22622168,2194,0,0,1,1
22620742,22620751,9,1,0,0,2
22620752,22622165,1413,0,0,1,2
22622166,22622317,151,1,0,0,2
22622169,22622323,154,1,0,0,1
22622195,22622246,51,0,1,0,2
22622202,22622244,42,0,1,0,1
22622318,22622391,73,0,0,1,2
22622324,22622392,68,0,0,1,1
22622392,22622409,17,1,0,0,2
22622393,22622410,17,1,0,0,1
22622410,22622986,576,0,0,1,2
22622411,22622986,575,0,0,1,1
22622987,22623043,56,1,0,0,2
22622987,22623045,58,1,0,0,1
22623044,22623312,268,0,0,1,2
22623046,22623313,267,0,0,1,1
22623313,22623525,212,1,0,0,2
22623314,22623487,173,1,0,0,1
22623337,22623418,81,0,1,0,2
22623340,22623428,88,0,1,0,1
22623488,22623711,223,0,0,1,1
22623526,22623711,185,0,0,1,2
22623712,22623727,15,1,0,0,1
22623712,22623728,16,1,0,0,2
22623728,22626445,2717,0,0,1,1
22623729,22624589,860,0,0,1,2
22624590,22624598,8,1,0,0,2
22624599,22625838,1239,0,0,1,2
22625839,22625853,14,1,0,0,2
22625854,22626443,589,0,0,1,2
22626444,22626455,11,1,0,0,2
22626446,22626454,8,1,0,0,1
22626455,22627552,1097,0,0,1,1
22626456,22627550,1094,0,0,1,2
22627551,22628358,807,1,0,0,2
22627553,22628372,819,1,0,0,1
22627630,22628361,731,0,1,0,1
22627631,22628342,711,0,1,0,2
22628359,22628478,119,0,0,1,2
22628373,22628475,102,0,0,1,1
22628476,22628501,25,1,0,0,1
22628479,22628501,22,1,0,0,2
22628502,22628775,273,0,0,1,2
22628502,22628776,274,0,0,1,1
22628776,22628784,8,1,0,0,2
22628777,22628797,20,1,0,0,1
22628785,22629032,247,0,0,1,2
22628798,22629030,232,0,0,1,1
22629031,22629216,185,1,0,0,1
22629033,22629249,216,1,0,0,2
22629057,22629158,101,0,1,0,2
22629058,22629160,102,0,1,0,1
22629217,22629351,134,0,0,1,1
22629250,22629351,101,0,0,1,2
22629352,22629368,16,1,0,0,1
22629352,22629371,19,1,0,0,2
22629369,22631701,2332,0,0,1,1
22629372,22630703,1331,0,0,1,2
22630704,22630712,8,1,0,0,2
22630713,22631701,988,0,0,1,2
22631702,22631776,74,1,0,0,2
22631702,22631777,75,1,0,0,1
22631777,22631930,153,0,0,1,2
22631778,22631919,141,0,0,1,1
22631920,22631946,26,1,0,0,1
22631931,22631947,16,1,0,0,2
22631947,22633177,1230,0,0,1,1
22631948,22633613,1665,0,0,1,2
22633178,22633188,10,1,0,0,1
22633189,22633362,173,0,0,1,1
22633363,22633388,25,1,0,0,1
22633389,22633620,231,0,0,1,1
22633614,22633927,313,1,0,0,2
22633621,22636950,3329,1,0,0,1
22633646,22633840,194,0,1,0,1
22633646,22633860,214,0,1,0,2
22633879,22633905,26,0,1,0,1
22633928,22633958,30,0,0,1,2
22633959,22633968,9,1,0,0,2
22633969,22634638,669,0,0,1,2
22634639,22634654,15,1,0,0,2
22634655,22636839,2184,0,0,1,2
22636840,22636908,68,1,0,0,2
22636909,22636990,81,0,0,1,2
22636951,22636991,40,0,0,1,1
22636991,22639428,2437,1,0,0,2
22636992,22640255,3263,1,0,0,1
22639429,22639460,31,0,0,1,2
22639461,22640371,910,1,0,0,2
22640256,22640328,72,0,0,1,1
22640329,22640372,43,1,0,0,1
22640372,22640505,133,0,0,1,2
22640373,22640506,133,0,0,1,1
22640506,22640523,17,1,0,0,2
22640507,22640524,17,1,0,0,1
22640524,22643173,2649,0,0,1,2
22640525,22643173,2648,0,0,1,1
22643174,22643241,67,1,0,0,1
22643174,22643242,68,1,0,0,2
22643242,22643330,88,0,0,1,1
22643243,22643328,85,0,0,1,2
22643329,22643359,30,1,0,0,2
22643331,22643356,25,1,0,0,1
22643357,22643507,150,0,0,1,1
22643360,22643508,148,0,0,1,2
22643508,22643526,18,1,0,0,1
22643509,22643517,8,1,0,0,2
22643518,22645655,2137,0,0,1,2
22643527,22646091,2564,0,0,1,1
22645656,22645684,28,1,0,0,2
22645685,22646090,405,0,0,1,2
22646091,22646141,50,1,0,0,2
22646092,22646149,57,1,0,0,1
22646142,22646263,121,0,0,1,2
22646150,22646262,112,0,0,1,1
22646263,22646271,8,1,0,0,1
22646264,22646277,13,1,0,0,2
22646272,22648590,2318,0,0,1,1
22646278,22646721,443,0,0,1,2
22646722,22646738,16,1,0,0,2
22646739,22647259,520,0,0,1,2
22647260,22647269,9,1,0,0,2
22647270,22648590,1320,0,0,1,2
22648591,22648628,37,1,0,0,2
22648591,22648631,40,1,0,0,1
22648629,22648741,112,0,0,1,2
22648632,22648740,108,0,0,1,1
22648741,22648772,31,1,0,0,1
22648742,22648772,30,1,0,0,2
22648773,22648832,59,0,0,1,2
22648773,22650532,1759,0,0,1,1
22648833,22649133,300,1,0,0,2
22649134,22649993,859,0,0,1,2
22649994,22650258,264,1,0,0,2
22650259,22650347,88,0,0,1,2
22650348,22650455,107,1,0,0,2
22650456,22650532,76,0,0,1,2
22650533,22650567,34,1,0,0,1
22650533,22651100,567,1,0,0,2
22650568,22651018,450,0,0,1,1
22651019,22651098,79,1,0,0,1
22651099,22651192,93,0,0,1,1
22651101,22651195,94,0,0,1,2
22651193,22651214,21,1,0,0,1
22651196,22651212,16,1,0,0,2
22651213,22653329,2116,0,0,1,2
22651215,22651768,553,0,0,1,1
22651769,22651779,10,1,0,0,1
22651780,22652883,1103,0,0,1,1
22652884,22652893,9,1,0,0,1
22652894,22653328,434,0,0,1,1
22653329,22653397,68,1,0,0,1
22653330,22653403,73,1,0,0,2
22653398,22653540,142,0,0,1,1
22653404,22653541,137,0,0,1,2
22653541,22653616,75,1,0,0,1
22653542,22653613,71,1,0,0,2
22653614,22653706,92,0,0,1,2
22653617,22653703,86,0,0,1,1
22653704,22653728,24,1,0,0,1
22653707,22653744,37,1,0,0,2
22653729,22655663,1934,0,0,1,1
22653745,22653891,146,0,0,1,2
22653892,22653896,4,1,0,0,2
22653897,22654386,489,0,0,1,2
22654387,22654395,8,1,0,0,2
22654396,22655663,1267,0,0,1,2
22655664,22655712,48,1,0,0,1
22655664,22655713,49,1,0,0,2
22655713,22655843,130,0,0,1,1
22655714,22655844,130,0,0,1,2
22655844,22655904,60,1,0,0,1
22655845,22655912,67,1,0,0,2
22655905,22655991,86,0,0,1,1
22655913,22656002,89,0,0,1,2
22655992,22656020,28,1,0,0,1
22656003,22656025,22,1,0,0,2
22656021,22656412,391,0,0,1,1
22656026,22656891,865,0,0,1,2
22656413,22656430,17,1,0,0,1
22656431,22657355,924,0,0,1,1
22656892,22656896,4,1,0,0,2
22656897,22657241,344,0,0,1,2
22657242,22657272,30,1,0,0,2
22657273,22657698,425,0,0,1,2
22657356,22657453,97,1,0,0,1
22657454,22657708,254,0,0,1,1
22657699,22657719,20,1,0,0,2
22657709,22657776,67,1,0,0,1
22657720,22658011,291,0,0,1,2
22657777,22657997,220,0,0,1,1
22657998,22658057,59,1,0,0,1
22658012,22658072,60,1,0,0,2
22658058,22658396,338,0,0,1,1
22658073,22658398,325,0,0,1,2
22658397,22658471,74,1,0,0,1
22658399,22658474,75,1,0,0,2
22658472,22658549,77,0,0,1,1
22658475,22658549,74,0,0,1,2
22658550,22658587,37,1,0,0,1
22658550,22658587,37,1,0,0,2
22658588,22658700,112,0,0,1,1
22658588,22658704,116,0,0,1,2
22658701,22658717,16,1,0,0,1
22658705,22658717,12,1,0,0,2
22658718,22660576,1858,0,0,1,1
22658718,22660578,1860,0,0,1,2
22660577,22660648,71,1,0,0,1
22660579,22660648,69,1,0,0,2
22660649,22660749,100,0,0,1,2
22660649,22660752,103,0,0,1,1
22660750,22660799,49,1,0,0,2
22660753,22660800,47,1,0,0,1
22660800,22660918,118,0,0,1,2
22660801,22660916,115,0,0,1,1
22660917,22660961,44,1,0,0,1
22660919,22660960,41,1,0,0,2
22660961,22662752,1791,0,0,1,2
22660962,22661200,238,0,0,1,1
22661201,22661210,9,1,0,0,1
22661211,22662479,1268,0,0,1,1
22662480,22662488,8,1,0,0,1
22662489,22663230,741,0,0,1,1
22662753,22662982,229,1,0,0,2
22662983,22663229,246,0,0,1,2
22663230,22663305,75,1,0,0,2
22663231,22663296,65,1,0,0,1
22663297,22663374,77,0,0,1,1
22663306,22663377,71,0,0,1,2
22663375,22663447,72,1,0,0,1
22663378,22663444,66,1,0,0,2
22663445,22663682,237,0,0,1,2
22663448,22666434,2986,0,0,1,1
22663683,22663687,4,1,0,0,2
22663688,22665415,1727,0,0,1,2
22665416,22665424,8,1,0,0,2
22665425,22666435,1010,0,0,1,2
22666435,22666487,52,1,0,0,1
22666436,22666486,50,1,0,0,2
22666487,22666792,305,0,0,1,2
22666488,22666791,303,0,0,1,1
22666792,22666870,78,1,0,0,1
22666793,22666841,48,1,0,0,2
22666842,22666946,104,0,0,1,2
22666871,22666945,74,0,0,1,1
22666946,22667009,63,1,0,0,1
22666947,22666971,24,1,0,0,2
22666972,22667138,166,0,0,1,2
22667010,22667083,73,0,0,1,1
22667084,22667099,15,1,0,0,1
22667100,22667551,451,0,0,1,1
22667139,22667155,16,1,0,0,2
22667156,22668897,1741,0,0,1,2
22667552,22667563,11,1,0,0,1
22667564,22667720,156,0,0,1,1
22667721,22667737,16,1,0,0,1
22667738,22667902,164,0,0,1,1
22667903,22667918,15,1,0,0,1
22667919,22668898,979,0,0,1,1
22668898,22668946,48,1,0,0,2
22668899,22668946,47,1,0,0,1
22668947,22669322,375,0,0,1,1
22668947,22669322,375,0,0,1,2
22669323,22669431,108,1,0,0,1
22669323,22669431,108,1,0,0,2
22669432,22669484,52,0,0,1,1
22669432,22669486,54,0,0,1,2
22669485,22669524,39,1,0,0,1
22669487,22669523,36,1,0,0,2
22669524,22669658,134,0,0,1,2
22669525,22669659,134,0,0,1,1
22669659,22669676,17,1,0,0,2
22669660,22669677,17,1,0,0,1
22669677,22670742,1065,0,0,1,2
22669678,22670742,1064,0,0,1,1
22670743,22670753,10,1,0,0,1
22670743,22670753,10,1,0,0,2
22670754,22671715,961,0,0,1,2
22670754,22671716,962,0,0,1,1
22671716,22671778,62,1,0,0,2
22671717,22671780,63,1,0,0,1
22671779,22671944,165,0,0,1,2
22671781,22671945,164,0,0,1,1
22671945,22671996,51,1,0,0,2
22671946,22671997,51,1,0,0,1
22671997,22672119,122,0,0,1,2
22671998,22672124,126,0,0,1,1
22672120,22672138,18,1,0,0,2
22672125,22672133,8,1,0,0,1
22672134,22672471,337,0,0,1,1
22672139,22672464,325,0,0,1,2
22672465,22672481,16,1,0,0,2
22672472,22672480,8,1,0,0,1
22672481,22673852,1371,0,0,1,1
22672482,22673852,1370,0,0,1,2
22673853,22673907,54,1,0,0,1
22673853,22673928,75,1,0,0,2
22673908,22674048,140,0,0,1,1
22673929,22674048,119,0,0,1,2
22674049,22674057,8,1,0,0,2
22674049,22674059,10,1,0,0,1
22674058,22676119,2061,0,0,1,2
22674060,22675354,1294,0,0,1,1
22675355,22675359,4,1,0,0,1
22675360,22676126,766,0,0,1,1
22676120,22676139,19,1,0,0,2
22676127,22676140,13,1,0,0,1
22676140,22676834,694,0,0,1,2
22676141,22676834,693,0,0,1,1
22676835,22676909,74,1,0,0,1
22676835,22676915,80,1,0,0,2
22676910,22676990,80,0,0,1,1
22676916,22676990,74,0,0,1,2
22676991,22677031,40,1,0,0,1
22676991,22677038,47,1,0,0,2
22677032,22678302,1270,0,0,1,1
22677039,22677202,163,0,0,1,2
22677203,22677212,9,1,0,0,2
22677213,22678304,1091,0,0,1,2
22678303,22678324,21,1,0,0,1
22678305,22678326,21,1,0,0,2
22678325,22678449,124,0,0,1,1
22678327,22678449,122,0,0,1,2
22678450,22678466,16,1,0,0,2
22678450,22678468,18,1,0,0,1
22678467,22679409,942,0,0,1,2
22678469,22678515,46,0,0,1,1
22678516,22678530,14,1,0,0,1
22678531,22678910,379,0,0,1,1
22678911,22679009,98,1,0,0,1
22679010,22679058,48,0,0,1,1
22679059,22679146,87,1,0,0,1
22679147,22679408,261,0,0,1,1
22679409,22679475,66,1,0,0,1
22679410,22679463,53,1,0,0,2
22679464,22679567,103,0,0,1,2
22679476,22679568,92,0,0,1,1
22679568,22679604,36,1,0,0,2
22679569,22679603,34,1,0,0,1
22679604,22679780,176,0,0,1,1
22679605,22679779,174,0,0,1,2
22679780,22679790,10,1,0,0,2
22679781,22679789,8,1,0,0,1
22679790,22679999,209,0,0,1,1
22679791,22679998,207,0,0,1,2
22679999,22680011,12,1,0,0,2
22680000,22680016,16,1,0,0,1
22680012,22682054,2042,0,0,1,2
22680017,22682054,2037,0,0,1,1
22682055,22682117,62,1,0,0,1
22682055,22682121,66,1,0,0,2
22682118,22682264,146,0,0,1,1
22682122,22682268,146,0,0,1,2
22682265,22682286,21,1,0,0,1
22682269,22682286,17,1,0,0,2
22682287,22683970,1683,0,0,1,1
22682287,22683970,1683,0,0,1,2
22683971,22684000,29,1,0,0,2
22683971,22684002,31,1,0,0,1
22684001,22684411,410,0,0,1,2
22684003,22684409,406,0,0,1,1
22684410,22684463,53,1,0,0,1
22684412,22684467,55,1,0,0,2
22684464,22684574,110,0,0,1,1
22684468,22684573,105,0,0,1,2
22684574,22684592,18,1,0,0,2
22684575,22684591,16,1,0,0,1
22684592,22684751,159,0,0,1,1
22684593,22684752,159,0,0,1,2
22684752,22684762,10,1,0,0,1
22684753,22684764,11,1,0,0,2
22684763,22686766,2003,0,0,1,1
22684765,22686767,2002,0,0,1,2
22686767,22686840,73,1,0,0,1
22686768,22686836,68,1,0,0,2
22686837,22686926,89,0,0,1,2
22686841,22686927,86,0,0,1,1
22686927,22686953,26,1,0,0,2
22686928,22686955,27,1,0,0,1
22686954,22687096,142,0,0,1,2
22686956,22687097,141,0,0,1,1
22687097,22687113,16,1,0,0,2
22687098,22687113,15,1,0,0,1
22687114,22689038,1924,0,0,1,1
22687114,22689038,1924,0,0,1,2
22689039,22689106,67,1,0,0,2
22689039,22689113,74,1,0,0,1
22689107,22689207,100,0,0,1,2
22689114,22689208,94,0,0,1,1
22689208,22689229,21,1,0,0,2
22689209,22689229,20,1,0,0,1
22689230,22689418,188,0,0,1,1
22689230,22689795,565,0,0,1,2
22689419,22689427,8,1,0,0,1
22689428,22689590,162,0,0,1,1
22689591,22689605,14,1,0,0,1
22689606,22689795,189,0,0,1,1
22689796,22689801,5,1,0,0,1
22689796,22689805,9,1,0,0,2
22689802,22691178,1376,0,0,1,1
22689806,22691178,1372,0,0,1,2
22691179,22691239,60,1,0,0,1
22691179,22691241,62,1,0,0,2
22691240,22691327,87,0,0,1,1
22691242,22691328,86,0,0,1,2
22691328,22691356,28,1,0,0,1
22691329,22691353,24,1,0,0,2
22691354,22691513,159,0,0,1,2
22691357,22691517,160,0,0,1,1
22691514,22691528,14,1,0,0,2
22691518,22691526,8,1,0,0,1
22691527,22692978,1451,0,0,1,1
22691529,22692976,1447,0,0,1,2
22692977,22693026,49,1,0,0,2
22692979,22693027,48,1,0,0,1
22693027,22693391,364,0,0,1,2
22693028,22693391,363,0,0,1,1
22693392,22693452,60,1,0,0,2
22693392,22693455,63,1,0,0,1
22693453,22693591,138,0,0,1,2
22693456,22693594,138,0,0,1,1
22693592,22693609,17,1,0,0,2
22693595,22693609,14,1,0,0,1
22693610,22695397,1787,0,0,1,1
22693610,22695397,1787,0,0,1,2
22695398,22695506,108,1,0,0,1
22695398,22695507,109,1,0,0,2
22695507,22695652,145,0,0,1,1
22695508,22695652,144,0,0,1,2
22695653,22695715,62,1,0,0,2
22695653,22695716,63,1,0,0,1
22695716,22695813,97,0,0,1,2
22695717,22695813,96,0,0,1,1
22695814,22695833,19,1,0,0,2
22695814,22695835,21,1,0,0,1
22695834,22696004,170,0,0,1,2
22695836,22696001,165,0,0,1,1
22696002,22696017,15,1,0,0,1
22696005,22696015,10,1,0,0,2
22696016,22696642,626,0,0,1,2
22696018,22696640,622,0,0,1,1
22696641,22696660,19,1,0,0,1
22696643,22696657,14,1,0,0,2
22696658,22697008,350,0,0,1,2
22696661,22697008,347,0,0,1,1
22697009,22697016,7,1,0,0,1
22697009,22697016,7,1,0,0,2
22697017,22697553,536,0,0,1,2
22697017,22697554,537,0,0,1,1
22697554,22697613,59,1,0,0,2
22697555,22697613,58,1,0,0,1
22697614,22698034,420,0,0,1,1
22697614,22698034,420,0,0,1,2
22698035,22698076,41,1,0,0,1
22698035,22698077,42,1,0,0,2
22698077,22698207,130,0,0,1,1
22698078,22698209,131,0,0,1,2
22698208,22698225,17,1,0,0,1
22698210,22698224,14,1,0,0,2
22698225,22700022,1797,0,0,1,2
22698226,22700021,1795,0,0,1,1
22700022,22700059,37,1,0,0,1
22700023,22700059,36,1,0,0,2
22700060,22700153,93,0,0,1,1
22700060,22700153,93,0,0,1,2
22700154,22700174,20,1,0,0,1
22700154,22700177,23,1,0,0,2
22700175,22701342,1167,0,0,1,1
22700178,22701342,1164,0,0,1,2
22701343,22701353,10,1,0,0,1
22701343,22701369,26,1,0,0,2
22701354,22701959,605,0,0,1,1
22701370,22701959,589,0,0,1,2
22701960,22702013,53,1,0,0,2
22701960,22702018,58,1,0,0,1
22702014,22702120,106,0,0,1,2
22702019,22702118,99,0,0,1,1
22702119,22702141,22,1,0,0,1
22702121,22702140,19,1,0,0,2
22702141,22704074,1933,0,0,1,2
22702142,22704075,1933,0,0,1,1
22704075,22704118,43,1,0,0,2
22704076,22704118,42,1,0,0,1
22704119,22704329,210,0,0,1,2
22704119,22704330,211,0,0,1,1
22704330,22704339,9,1,0,0,2
22704331,22704341,10,1,0,0,1
22704340,22706090,1750,0,0,1,2
22704342,22706090,1748,0,0,1,1
22706091,22706172,81,1,0,0,2
22706091,22706177,86,1,0,0,1
22706173,22706301,128,0,0,1,2
22706178,22706300,122,0,0,1,1
22706301,22706327,26,1,0,0,1
22706302,22706328,26,1,0,0,2
22706328,22706710,382,0,0,1,1
22706329,22708209,1880,0,0,1,2
22706711,22706715,4,1,0,0,1
22706716,22708208,1492,0,0,1,1
22708209,22708285,76,1,0,0,1
22708210,22708281,71,1,0,0,2
22708282,22708375,93,0,0,1,2
22708286,22708373,87,0,0,1,1
22708374,22708396,22,1,0,0,1
22708376,22708397,21,1,0,0,2
22708397,22709805,1408,0,0,1,1
22708398,22709805,1407,0,0,1,2
22709806,22709858,52,1,0,0,2
22709806,22709867,61,1,0,0,1
22709859,22710092,233,0,0,1,2
22709868,22710091,223,0,0,1,1
22710092,22710144,52,1,0,0,1
22710093,22710145,52,1,0,0,2
22710145,22710280,135,0,0,1,1
22710146,22710282,136,0,0,1,2
22710281,22710363,82,1,0,0,1
22710283,22710363,80,1,0,0,2
22710364,22710458,94,0,0,1,1
22710364,22710458,94,0,0,1,2
22710459,22710486,27,1,0,0,2
22710459,22710499,40,1,0,0,1
22710487,22710655,168,0,0,1,2
22710500,22710658,158,0,0,1,1
22710656,22710666,10,1,0,0,2
22710659,22710666,7,1,0,0,1
22710667,22712211,1544,0,0,1,1
22710667,22712215,1548,0,0,1,2
22712212,22712288,76,1,0,0,1
22712216,22712298,82,1,0,0,2
22712289,22712387,98,0,0,1,1
22712299,22712387,88,0,0,1,2
22712388,22712453,65,1,0,0,1
22712388,22712463,75,1,0,0,2
22712454,22712536,82,0,0,1,1
22712464,22712537,73,0,0,1,2
22712537,22712568,31,1,0,0,1
22712538,22712569,31,1,0,0,2
22712569,22714292,1723,0,0,1,1
22712570,22714291,1721,0,0,1,2
22714292,22714371,79,1,0,0,2
22714293,22714376,83,1,0,0,1
22714372,22714495,123,0,0,1,2
22714377,22714495,118,0,0,1,1
22714496,22714517,21,1,0,0,1
22714496,22714519,23,1,0,0,2
22714518,22716170,1652,0,0,1,1
22714520,22715480,960,0,0,1,2
22715481,22715486,5,1,0,0,2
22715487,22716170,683,0,0,1,2
22716171,22716218,47,1,0,0,1
22716171,22716221,50,1,0,0,2
22716219,22716543,324,0,0,1,1
22716222,22716543,321,0,0,1,2
22716544,22716605,61,1,0,0,2
22716544,22716606,62,1,0,0,1
22716606,22716748,142,0,0,1,2
22716607,22716748,141,0,0,1,1
