start,end,duration,saccade,blink,fixation,eye
23054048,23054083,35,0,0,1,1
23054048,23054087,39,0,0,1,2
23054084,23054988,904,1,0,0,1
23054088,23054988,900,1,0,0,2
23054125,23054977,852,0,1,0,1
23054125,23054977,852,0,1,0,2
23054989,23055086,97,0,0,1,2
23054989,23055136,147,0,0,1,1
23055087,23055091,4,1,0,0,2
23055092,23055141,49,0,0,1,2
23055137,23055207,70,1,0,0,1
23055142,23055208,66,1,0,0,2
23055208,23055297,89,0,0,1,1
23055209,23055297,88,0,0,1,2
23055298,23055341,43,1,0,0,2
23055298,23055342,44,1,0,0,1
23055342,23055569,227,0,0,1,2
23055343,23055570,227,0,0,1,1
23055570,23055600,30,1,0,0,2
23055571,23055602,31,1,0,0,1
23055601,23055828,227,0,0,1,2
23055603,23055829,226,0,0,1,1
23055829,23056129,300,1,0,0,2
23055830,23056056,226,1,0,0,1
23055844,23056028,184,0,1,0,2
23055847,23056003,156,0,1,0,1
23056057,23056095,38,0,0,1,1
23056096,23056133,37,1,0,0,1
23056130,23056437,307,0,0,1,2
23056134,23056437,303,0,0,1,1
23056438,23056461,23,1,0,0,2
23056438,23056467,29,1,0,0,1
23056462,23056746,284,0,0,1,2
23056468,23056755,287,0,0,1,1
23056747,23057208,461,1,0,0,2
23056756,23057077,321,1,0,0,1
23056767,23057032,265,0,1,0,2
23056780,23056998,218,0,1,0,1
23057053,23057055,2,0,1,0,2
23057078,23057379,301,0,0,1,1
23057132,23057145,13,0,1,0,2
23057209,23057381,172,0,0,1,2
23057380,23057401,21,1,0,0,1
23057382,23057398,16,1,0,0,2
23057399,23057662,263,0,0,1,2
23057402,23057675,273,0,0,1,1
23057663,23058003,340,1,0,0,2
23057676,23057918,242,1,0,0,1
23057684,23057876,192,0,1,0,2
23057694,23057870,176,0,1,0,1
23057919,23057942,23,0,0,1,1
23057943,23057980,37,1,0,0,1
23057981,23058899,918,0,0,1,1
23058004,23058880,876,0,0,1,2
23058881,23060039,1158,1,0,0,2
23058900,23059924,1024,1,0,0,1
23058915,23059996,1081,0,1,0,2
23058953,23059899,946,0,1,0,1
23059925,23059971,46,0,0,1,1
23059972,23060013,41,1,0,0,1
23060014,23060313,299,0,0,1,1
23060040,23060316,276,0,0,1,2
23060314,23060346,32,1,0,0,1
23060317,23060345,28,1,0,0,2
23060346,23060540,194,0,0,1,2
23060347,23060538,191,0,0,1,1
23060539,23060568,29,1,0,0,1
23060541,23060567,26,1,0,0,2
23060568,23060811,243,0,0,1,2
23060569,23060831,262,0,0,1,1
23060812,23061424,612,1,0,0,2
23060830,23061085,255,0,1,0,2
23060832,23061189,357,1,0,0,1
23060854,23061042,188,0,1,0,1
23061190,23062624,1434,0,0,1,1
23061425,23062623,1198,0,0,1,2
23062624,23062641,17,1,0,0,2
23062625,23062640,15,1,0,0,1
23062641,23063420,779,0,0,1,1
23062642,23063420,778,0,0,1,2
23063421,23063470,49,1,0,0,1
23063421,23063472,51,1,0,0,2
23063471,23063774,303,0,0,1,1
23063473,23063773,300,0,0,1,2
23063774,23063812,38,1,0,0,2
23063775,23063813,38,1,0,0,1
23063813,23063973,160,0,0,1,2
23063814,23063972,158,0,0,1,1
23063973,23064004,31,1,0,0,1
23063974,23064003,29,1,0,0,2
23064004,23066089,2085,0,0,1,2
23064005,23066643,2638,0,0,1,1
23066090,23066179,89,1,0,0,2
23066180,23066206,26,0,0,1,2
23066207,23066683,476,1,0,0,2
23066644,23066663,19,1,0,0,1
23066664,23066886,222,0,0,1,1
23066684,23066720,36,0,0,1,2
23066721,23066982,261,1,0,0,2
23066887,23066974,87,1,0,0,1
23066975,23067088,113,0,0,1,1
23066983,23067090,107,0,0,1,2
23067089,23067125,36,1,0,0,1
23067091,23067133,42,1,0,0,2
23067126,23067218,92,0,0,1,1
23067134,23067219,85,0,0,1,2
23067219,23067255,36,1,0,0,1
23067220,23067255,35,1,0,0,2
23067256,23067461,205,0,0,1,1
23067256,23067462,206,0,0,1,2
23067462,23067494,32,1,0,0,1
23067463,23067493,30,1,0,0,2
23067494,23067796,302,0,0,1,2
23067495,23067793,298,0,0,1,1
23067794,23067825,31,1,0,0,1
23067797,23067824,27,1,0,0,2
23067825,23069419,1594,0,0,1,2
23067826,23069418,1592,0,0,1,1
23069419,23069506,87,1,0,0,1
23069420,23069506,86,1,0,0,2
23069507,23069650,143,0,0,1,2
23069507,23069651,144,0,0,1,1
23069651,23069709,58,1,0,0,2
23069652,23069707,55,1,0,0,1
23069708,23069784,76,0,0,1,1
23069710,23069785,75,0,0,1,2
23069785,23069835,50,1,0,0,1
