start,end,duration,saccade,blink,fixation,eye
8479723,8479994,271,0,0,1,2
8479723,8479995,272,0,0,1,1
8479995,8480074,79,1,0,0,2
8479996,8480076,80,1,0,0,1
8480075,8480157,82,0,0,1,2
8480077,8480158,81,0,0,1,1
8480158,8480199,41,1,0,0,2
8480159,8480189,30,1,0,0,1
8480190,8480394,204,0,0,1,1
8480200,8480393,193,0,0,1,2
8480394,8480423,29,1,0,0,2
8480395,8480420,25,1,0,0,1
8480421,8481634,1213,0,0,1,1
8480424,8481637,1213,0,0,1,2
8481635,8481663,28,1,0,0,1
8481638,8481662,24,1,0,0,2
8481663,8482184,521,0,0,1,2
8481664,8482186,522,0,0,1,1
8482185,8482351,166,1,0,0,2
8482187,8482346,159,1,0,0,1
8482206,8482311,105,0,1,0,2
8482213,8482294,81,0,1,0,1
8482347,8482575,228,0,0,1,1
8482352,8482574,222,0,0,1,2
8482575,8482611,36,1,0,0,2
8482576,8482612,36,1,0,0,1
8482612,8482698,86,0,0,1,2
8482613,8482698,85,0,0,1,1
8482699,8482731,32,1,0,0,2
8482699,8482733,34,1,0,0,1
8482732,8483447,715,0,0,1,2
8482734,8483451,717,0,0,1,1
8483448,8483640,192,1,0,0,2
8483452,8483636,184,1,0,0,1
8483466,8483598,132,0,1,0,2
8483474,8483581,107,0,1,0,1
8483637,8484840,1203,0,0,1,1
8483641,8485189,1548,0,0,1,2
8484841,8484862,21,1,0,0,1
8484863,8485190,327,0,0,1,1
8485190,8485345,155,1,0,0,2
8485191,8485357,166,1,0,0,1
8485209,8485302,93,0,1,0,2
8485213,8485300,87,0,1,0,1
8485346,8486286,940,0,0,1,2
8485358,8485502,144,0,0,1,1
8485503,8485514,11,1,0,0,1
8485515,8486281,766,0,0,1,1
8486282,8486311,29,1,0,0,1
8486287,8486310,23,1,0,0,2
8486311,8487468,1157,0,0,1,2
8486312,8487468,1156,0,0,1,1
8487469,8487537,68,1,0,0,1
8487469,8487539,70,1,0,0,2
8487538,8487670,132,0,0,1,1
8487540,8487669,129,0,0,1,2
8487670,8487731,61,1,0,0,2
8487671,8487731,60,1,0,0,1
8487732,8487897,165,0,0,1,1
8487732,8487901,169,0,0,1,2
8487898,8487920,22,1,0,0,1
8487902,8487922,20,1,0,0,2
8487921,8488938,1017,0,0,1,1
8487923,8488939,1016,0,0,1,2
8488939,8488963,24,1,0,0,1
8488940,8488955,15,1,0,0,2
8488956,8491051,2095,0,0,1,2
8488964,8491049,2085,0,0,1,1
8491050,8491177,127,1,0,0,1
8491052,8491208,156,1,0,0,2
8491074,8491157,83,0,1,0,2
8491080,8491141,61,0,1,0,1
8491178,8491458,280,0,0,1,1
8491209,8491460,251,0,0,1,2
8491459,8491529,70,1,0,0,1
8491461,8491534,73,1,0,0,2
8491530,8491612,82,0,0,1,1
8491535,8491613,78,0,0,1,2
8491613,8491651,38,1,0,0,1
8491614,8491637,23,1,0,0,2
8491638,8491836,198,0,0,1,2
8491652,8491840,188,0,0,1,1
8491837,8491864,27,1,0,0,2
8491841,8491854,13,1,0,0,1
8491855,8492092,237,0,0,1,1
8491865,8493743,1878,0,0,1,2
8492093,8492109,16,1,0,0,1
8492110,8493743,1633,0,0,1,1
8493744,8493805,61,1,0,0,2
8493744,8493806,62,1,0,0,1
8493806,8494139,333,0,0,1,2
8493807,8494139,332,0,0,1,1
8494140,8494222,82,1,0,0,1
8494140,8494223,83,1,0,0,2
8494223,8494310,87,0,0,1,1
8494224,8494304,80,0,0,1,2
8494305,8494521,216,1,0,0,2
8494311,8494480,169,1,0,0,1
8494322,8494470,148,0,1,0,2
8494327,8494464,137,0,1,0,1
8494481,8494556,75,0,0,1,1
8494522,8494555,33,0,0,1,2
8494556,8494584,28,1,0,0,2
8494557,8494589,32,1,0,0,1
8494585,8496519,1934,0,0,1,2
8494590,8496519,1929,0,0,1,1
8496520,8496589,69,1,0,0,2
8496520,8496590,70,1,0,0,1
8496590,8496930,340,0,0,1,2
8496591,8496929,338,0,0,1,1
8496930,8497017,87,1,0,0,1
8496931,8497014,83,1,0,0,2
8497015,8497094,79,0,0,1,2
8497018,8497094,76,0,0,1,1
8497095,8497129,34,1,0,0,2
8497095,8497131,36,1,0,0,1
8497130,8497264,134,0,0,1,2
8497132,8498952,1820,0,0,1,1
8497265,8497279,14,1,0,0,2
8497280,8498951,1671,0,0,1,2
8498952,8499095,143,1,0,0,2
8498953,8499086,133,1,0,0,1
8498986,8499070,84,0,1,0,2
8498990,8499048,58,0,1,0,1
8499087,8499366,279,0,0,1,1
8499096,8499366,270,0,0,1,2
8499367,8499428,61,1,0,0,2
8499367,8499430,63,1,0,0,1
8499429,8499538,109,0,0,1,2
8499431,8499539,108,0,0,1,1
8499539,8499576,37,1,0,0,2
8499540,8499572,32,1,0,0,1
8499573,8500577,1004,0,0,1,1
8499577,8500579,1002,0,0,1,2
8500578,8500601,23,1,0,0,1
8500580,8500590,10,1,0,0,2
8500591,8500682,91,0,0,1,2
8500602,8501955,1353,0,0,1,1
8500683,8500687,4,1,0,0,2
8500688,8500819,131,0,0,1,2
8500820,8500842,22,1,0,0,2
8500843,8501954,1111,0,0,1,2
8501955,8502022,67,1,0,0,2
8501956,8502035,79,1,0,0,1
8502023,8502144,121,0,0,1,2
8502036,8502144,108,0,0,1,1
