start,end,duration,saccade,blink,fixation,eye
1263454,1263821,367,0,0,1,1
1263454,1263825,371,0,0,1,2
1263822,1263950,128,1,0,0,1
1263826,1263945,119,1,0,0,2
1263946,1264136,190,0,0,1,2
1263951,1264136,185,0,0,1,1
1264137,1264171,34,1,0,0,2
1264137,1264172,35,1,0,0,1
1264172,1264466,294,0,0,1,2
1264173,1264467,294,0,0,1,1
1264467,1264494,27,1,0,0,2
1264468,1264495,27,1,0,0,1
1264495,1267007,2512,0,0,1,2
1264496,1266989,2493,0,0,1,1
1266990,1267477,487,1,0,0,1
1267008,1267342,334,1,0,0,2
1267018,1267467,449,0,1,0,1
1267056,1267252,196,0,1,0,2
1267343,1267749,406,0,0,1,2
1267478,1267749,271,0,0,1,1
1267750,1267772,22,1,0,0,2
1267750,1267779,29,1,0,0,1
1267773,1267933,160,0,0,1,2
1267780,1267934,154,0,0,1,1
1267934,1267955,21,1,0,0,2
1267935,1267966,31,1,0,0,1
1267956,1269928,1972,0,0,1,2
1267967,1269929,1962,0,0,1,1
1269929,1269980,51,1,0,0,2
1269930,1269993,63,1,0,0,1
1269981,1270201,220,0,0,1,2
1269994,1270202,208,0,0,1,1
1270202,1270275,73,1,0,0,2
1270203,1270278,75,1,0,0,1
1270276,1270359,83,0,0,1,2
1270279,1270360,81,0,0,1,1
1270360,1270398,38,1,0,0,2
1270361,1270404,43,1,0,0,1
1270399,1272974,2575,0,0,1,2
1270405,1270662,257,0,0,1,1
1270663,1270675,12,1,0,0,1
1270676,1270840,164,0,0,1,1
1270841,1270861,20,1,0,0,1
1270862,1272971,2109,0,0,1,1
1272972,1273011,39,1,0,0,1
1272975,1273012,37,1,0,0,2
1273012,1273362,350,0,0,1,1
1273013,1273362,349,0,0,1,2
1273363,1273488,125,1,0,0,2
1273363,1273528,165,1,0,0,1
1273489,1273580,91,0,0,1,2
1273529,1273580,51,0,0,1,1
1273581,1273622,41,1,0,0,2
1273581,1273627,46,1,0,0,1
1273623,1274234,611,0,0,1,2
1273628,1274232,604,0,0,1,1
1274233,1274253,20,1,0,0,1
1274235,1274255,20,1,0,0,2
1274254,1276212,1958,0,0,1,1
1274256,1276212,1956,0,0,1,2
1276213,1276313,100,1,0,0,1
1276213,1276320,107,1,0,0,2
1276314,1276462,148,0,0,1,1
1276321,1276461,140,0,0,1,2
1276462,1276531,69,1,0,0,2
1276463,1276516,53,1,0,0,1
1276517,1276706,189,0,0,1,1
1276532,1276709,177,0,0,1,2
1276707,1276767,60,1,0,0,1
1276710,1276769,59,1,0,0,2
1276768,1276956,188,0,0,1,1
1276770,1276800,30,0,0,1,2
1276801,1276820,19,1,0,0,2
1276821,1276955,134,0,0,1,2
1276956,1276994,38,1,0,0,2
1276957,1276986,29,1,0,0,1
1276987,1278769,1782,0,0,1,1
1276995,1278771,1776,0,0,1,2
1278770,1278843,73,1,0,0,1
1278772,1278839,67,1,0,0,2
1278840,1278979,139,0,0,1,2
1278844,1278982,138,0,0,1,1
1278980,1279041,61,1,0,0,2
1278983,1279038,55,1,0,0,1
1279039,1279140,101,0,0,1,1
1279042,1279140,98,0,0,1,2
1279141,1279164,23,1,0,0,2
1279141,1279172,31,1,0,0,1
1279165,1279441,276,0,0,1,2
1279173,1279440,267,0,0,1,1
1279441,1279472,31,1,0,0,1
1279442,1279472,30,1,0,0,2
1279473,1279699,226,0,0,1,1
1279473,1279703,230,0,0,1,2
1279700,1279718,18,1,0,0,1
1279704,1279716,12,1,0,0,2
1279717,1280411,694,0,0,1,2
1279719,1280404,685,0,0,1,1
1280405,1280518,113,1,0,0,1
1280412,1280479,67,1,0,0,2
1280445,1280476,31,0,1,0,1
1280480,1281287,807,0,0,1,2
1280519,1281286,767,0,0,1,1
1281287,1281395,108,1,0,0,1
1281288,1281395,107,1,0,0,2
1281396,1281563,167,0,0,1,1
1281396,1281563,167,0,0,1,2
1281564,1281620,56,1,0,0,1
1281564,1281622,58,1,0,0,2
1281621,1281749,128,0,0,1,1
1281623,1281749,126,0,0,1,2
1281750,1281780,30,1,0,0,1
1281750,1281780,30,1,0,0,2
1281781,1281836,55,0,0,1,1
1281781,1281842,61,0,0,1,2
1281837,1282078,241,1,0,0,1
1281843,1282043,200,1,0,0,2
1281875,1282009,134,0,1,0,1
1281904,1281955,51,0,1,0,2
1282044,1282229,185,0,0,1,2
1282079,1282230,151,0,0,1,1
1282230,1282251,21,1,0,0,2
1282231,1282253,22,1,0,0,1
1282252,1283696,1444,0,0,1,2
1282254,1283693,1439,0,0,1,1
1283694,1283797,103,1,0,0,1
1283697,1283793,96,1,0,0,2
1283794,1284176,382,0,0,1,2
1283798,1284175,377,0,0,1,1
1284176,1284251,75,1,0,0,1
1284177,1284241,64,1,0,0,2
1284242,1284737,495,0,0,1,2
1284252,1284599,347,0,0,1,1
1284600,1284604,4,1,0,0,1
1284605,1284636,31,0,0,1,1
1284637,1284647,10,1,0,0,1
1284648,1284736,88,0,0,1,1
1284737,1284786,49,1,0,0,1
1284738,1284765,27,1,0,0,2
1284766,1284953,187,0,0,1,2
1284787,1284871,84,0,0,1,1
1284872,1284980,108,1,0,0,1
1284954,1284980,26,1,0,0,2
1284981,1285144,163,0,0,1,1
1284981,1286158,1177,0,0,1,2
1285145,1285249,104,1,0,0,1
1285250,1285335,85,0,0,1,1
1285336,1285356,20,1,0,0,1
1285357,1285438,81,0,0,1,1
1285439,1285474,35,1,0,0,1
1285475,1285656,181,0,0,1,1
1285657,1285713,56,1,0,0,1
1285714,1285794,80,0,0,1,1
1285795,1285822,27,1,0,0,1
1285823,1286158,335,0,0,1,1
1286159,1286233,74,1,0,0,2
1286159,1286237,78,1,0,0,1
1286234,1286351,117,0,0,1,2
1286238,1286350,112,0,0,1,1
1286351,1286409,58,1,0,0,1
1286352,1286417,65,1,0,0,2
1286410,1286561,151,0,0,1,1
1286418,1286560,142,0,0,1,2
1286561,1286583,22,1,0,0,2
1286562,1286584,22,1,0,0,1
1286584,1288514,1930,0,0,1,2
1286585,1288513,1928,0,0,1,1
1288514,1288561,47,1,0,0,1
1288515,1288571,56,1,0,0,2
1288562,1288690,128,0,0,1,1
1288572,1288690,118,0,0,1,2
1288691,1288721,30,1,0,0,1
1288691,1288723,32,1,0,0,2
1288722,1288938,216,0,0,1,1
1288724,1288937,213,0,0,1,2
1288938,1288970,32,1,0,0,2
1288939,1288960,21,1,0,0,1
1288961,1289654,693,0,0,1,1
1288971,1289653,682,0,0,1,2
1289654,1289674,20,1,0,0,2
1289655,1289672,17,1,0,0,1
1289673,1289854,181,0,0,1,1
1289675,1289853,178,0,0,1,2
1289854,1289875,21,1,0,0,2
1289855,1289877,22,1,0,0,1
1289876,1290254,378,0,0,1,2
1289878,1290258,380,0,0,1,1
1290255,1290274,19,1,0,0,2
1290259,1290275,16,1,0,0,1
1290275,1290494,219,0,0,1,2
1290276,1290496,220,0,0,1,1
1290495,1290513,18,1,0,0,2
1290497,1290513,16,1,0,0,1
1290514,1290738,224,0,0,1,2
1290514,1290744,230,0,0,1,1
1290739,1290821,82,1,0,0,2
1290745,1290866,121,1,0,0,1
1290776,1290813,37,0,1,0,1
1290822,1291050,228,0,0,1,2
1290867,1291049,182,0,0,1,1
1291050,1291267,217,1,0,0,1
1291051,1291265,214,1,0,0,2
1291107,1291236,129,0,1,0,1
1291127,1291178,51,0,1,0,2
1291266,1291364,98,0,0,1,2
1291268,1291364,96,0,0,1,1
1291365,1291396,31,1,0,0,2
1291365,1291397,32,1,0,0,1
1291397,1291568,171,0,0,1,2
1291398,1291567,169,0,0,1,1
1291568,1291874,306,1,0,0,1
1291569,1291911,342,1,0,0,2
1291587,1291855,268,0,1,0,1
1291611,1291768,157,0,1,0,2
1291875,1293229,1354,0,0,1,1
1291912,1293230,1318,0,0,1,2
1293230,1293273,43,1,0,0,1
1293231,1293273,42,1,0,0,2
1293274,1293373,99,0,0,1,1
1293274,1293373,99,0,0,1,2
1293374,1293447,73,1,0,0,2
1293374,1293450,76,1,0,0,1
1293448,1293535,87,0,0,1,2
1293451,1293538,87,0,0,1,1
1293536,1293569,33,1,0,0,2
1293539,1293569,30,1,0,0,1
1293570,1293889,319,0,0,1,2
1293570,1293890,320,0,0,1,1
1293890,1293918,28,1,0,0,2
1293891,1293916,25,1,0,0,1
1293917,1294126,209,0,0,1,1
1293919,1294121,202,0,0,1,2
1294122,1294148,26,1,0,0,2
1294127,1294139,12,1,0,0,1
1294140,1295091,951,0,0,1,1
1294149,1295091,942,0,0,1,2
1295092,1295129,37,1,0,0,1
1295092,1295129,37,1,0,0,2
1295130,1295448,318,0,0,1,1
1295130,1295448,318,0,0,1,2
1295449,1295499,50,1,0,0,1
1295449,1295499,50,1,0,0,2
1295500,1295688,188,0,0,1,2
1295500,1295693,193,0,0,1,1
1295689,1295717,28,1,0,0,2
1295694,1295716,22,1,0,0,1
1295717,1296253,536,0,0,1,1
1295718,1296252,534,0,0,1,2
1296253,1296284,31,1,0,0,2
1296254,1296285,31,1,0,0,1
1296285,1296465,180,0,0,1,2
1296286,1296465,179,0,0,1,1
1296466,1296495,29,1,0,0,1
1296466,1296496,30,1,0,0,2
1296496,1297339,843,0,0,1,1
1296497,1297337,840,0,0,1,2
1297338,1297381,43,1,0,0,2
1297340,1297376,36,1,0,0,1
1297377,1297579,202,0,0,1,1
1297382,1297580,198,0,0,1,2
1297580,1297612,32,1,0,0,1
1297581,1297610,29,1,0,0,2
1297611,1297709,98,0,0,1,2
1297613,1297711,98,0,0,1,1
1297710,1297772,62,1,0,0,2
1297712,1297773,61,1,0,0,1
1297773,1297874,101,0,0,1,2
1297774,1297877,103,0,0,1,1
1297875,1297915,40,1,0,0,2
1297878,1297924,46,1,0,0,1
1297916,1298142,226,0,0,1,2
1297925,1298143,218,0,0,1,1
1298143,1298172,29,1,0,0,2
1298144,1298173,29,1,0,0,1
1298173,1298586,413,0,0,1,2
1298174,1298516,342,0,0,1,1
1298517,1298611,94,1,0,0,1
1298587,1298606,19,1,0,0,2
1298607,1298764,157,0,0,1,2
1298612,1298765,153,0,0,1,1
1298765,1298800,35,1,0,0,2
1298766,1298798,32,1,0,0,1
1298799,1298828,29,0,0,1,1
1298801,1298830,29,0,0,1,2
1298829,1298858,29,1,0,0,1
1298831,1298859,28,1,0,0,2
1298859,1299452,593,0,0,1,1
1298860,1299454,594,0,0,1,2
1299453,1299594,141,1,0,0,1
1299455,1299554,99,1,0,0,2
1299555,1299918,363,0,0,1,2
1299595,1299916,321,0,0,1,1
1299917,1299994,77,1,0,0,1
1299919,1299979,60,1,0,0,2
1299980,1300083,103,0,0,1,2
1299995,1300082,87,0,0,1,1
1300083,1300115,32,1,0,0,1
1300084,1300113,29,1,0,0,2
1300114,1300319,205,0,0,1,2
1300116,1300312,196,0,0,1,1
1300313,1300331,18,1,0,0,1
1300320,1300330,10,1,0,0,2
1300331,1301834,1503,0,0,1,2
1300332,1301830,1498,0,0,1,1
1301831,1301919,88,1,0,0,1
1301835,1301920,85,1,0,0,2
1301920,1302259,339,0,0,1,1
1301921,1302141,220,0,0,1,2
1302142,1302187,45,1,0,0,2
1302188,1302259,71,0,0,1,2
1302260,1302323,63,1,0,0,2
1302260,1302326,66,1,0,0,1
1302324,1302590,266,0,0,1,2
1302327,1302585,258,0,0,1,1
1302586,1302601,15,1,0,0,1
1302591,1302600,9,1,0,0,2
1302601,1304004,1403,0,0,1,2
1302602,1304003,1401,0,0,1,1
1304004,1304057,53,1,0,0,1
1304005,1304060,55,1,0,0,2
1304058,1304447,389,0,0,1,1
1304061,1304445,384,0,0,1,2
1304446,1304499,53,1,0,0,2
1304448,1304496,48,1,0,0,1
1304497,1304646,149,0,0,1,1
1304500,1304647,147,0,0,1,2
1304647,1304675,28,1,0,0,1
1304648,1304680,32,1,0,0,2
1304676,1306089,1413,0,0,1,1
1304681,1306125,1444,0,0,1,2
