start,end,duration,saccade,blink,fixation,eye
15172618,15172734,116,0,0,1,1
15172618,15172748,130,0,0,1,2
15172735,15173619,884,1,0,0,1
15172749,15172906,157,1,0,0,2
15172756,15173608,852,0,1,0,1
15172760,15172870,110,0,1,0,2
15172907,15172984,77,0,0,1,2
15172985,15173709,724,1,0,0,2
15173021,15173609,588,0,1,0,2
15173620,15173677,57,0,0,1,1
15173678,15173703,25,1,0,0,1
15173704,15175716,2012,0,0,1,1
15173710,15175715,2005,0,0,1,2
15175716,15176153,437,1,0,0,2
15175717,15176142,425,1,0,0,1
15175850,15176107,257,0,1,0,1
15175856,15176088,232,0,1,0,2
15176143,15176245,102,0,0,1,1
15176154,15176247,93,0,0,1,2
15176246,15176317,71,1,0,0,1
15176248,15176318,70,1,0,0,2
15176318,15176458,140,0,0,1,1
15176319,15176458,139,0,0,1,2
15176459,15176478,19,1,0,0,1
15176459,15176482,23,1,0,0,2
15176479,15176820,341,0,0,1,1
15176483,15176820,337,0,0,1,2
15176821,15176908,87,1,0,0,1
15176821,15177612,791,1,0,0,2
15176909,15176977,68,0,0,1,1
15176978,15177558,580,1,0,0,1
15177028,15177578,550,0,1,0,2
15177033,15177547,514,0,1,0,1
15177559,15177866,307,0,0,1,1
15177613,15177866,253,0,0,1,2
15177867,15177946,79,1,0,0,1
15177867,15177960,93,1,0,0,2
15177947,15178597,650,0,0,1,1
15177961,15178588,627,0,0,1,2
15178589,15178636,47,1,0,0,2
15178598,15178635,37,1,0,0,1
15178636,15178805,169,0,0,1,1
15178637,15178797,160,0,0,1,2
15178798,15179035,237,1,0,0,2
15178806,15179047,241,1,0,0,1
15178843,15179003,160,0,1,0,2
15178847,15178999,152,0,1,0,1
15179036,15179098,62,0,0,1,2
15179048,15179099,51,0,0,1,1
15179099,15179125,26,1,0,0,2
15179100,15179124,24,1,0,0,1
15179125,15179290,165,0,0,1,1
15179126,15179296,170,0,0,1,2
15179291,15179301,10,1,0,0,1
15179297,15179301,4,1,0,0,2
15179302,15179671,369,0,0,1,1
15179302,15179671,369,0,0,1,2
15179672,15181422,1750,1,0,0,1
15179672,15181477,1805,1,0,0,2
15179819,15181233,1414,0,1,0,1
15179829,15181464,1635,0,1,0,2
15181256,15181395,139,0,1,0,1
15181423,15181657,234,0,0,1,1
15181478,15181652,174,0,0,1,2
15181653,15182519,866,1,0,0,2
15181658,15181715,57,1,0,0,1
15181698,15182471,773,0,1,0,2
15181716,15182317,601,0,0,1,1
15182318,15182485,167,1,0,0,1
15182362,15182453,91,0,1,0,1
15182486,15182603,117,0,0,1,1
15182520,15182597,77,0,0,1,2
15182598,15183291,693,1,0,0,2
15182604,15183299,695,1,0,0,1
15182620,15182763,143,0,1,0,2
15182624,15182760,136,0,1,0,1
15182856,15183168,312,0,1,0,1
15182861,15183129,268,0,1,0,2
15183190,15183264,74,0,1,0,1
15183208,15183239,31,0,1,0,2
15183292,15183368,76,0,0,1,2
15183300,15183367,67,0,0,1,1
15183368,15183403,35,1,0,0,1
15183369,15183407,38,1,0,0,2
15183404,15183553,149,0,0,1,1
15183408,15183551,143,0,0,1,2
15183552,15183567,15,1,0,0,2
15183554,15183564,10,1,0,0,1
15183565,15183592,27,0,0,1,1
15183568,15183593,25,0,0,1,2
15183593,15184639,1046,1,0,0,1
15183594,15184638,1044,1,0,0,2
15183646,15184628,982,0,1,0,1
15183657,15184628,971,0,1,0,2
15184639,15184692,53,0,0,1,2
15184640,15184691,51,0,0,1,1
15184692,15184721,29,1,0,0,1
15184693,15184722,29,1,0,0,2
15184722,15186033,1311,0,0,1,1
15184723,15184913,190,0,0,1,2
15184914,15184924,10,1,0,0,2
15184925,15186038,1113,0,0,1,2
15186034,15186455,421,1,0,0,1
15186039,15186481,442,1,0,0,2
15186057,15186210,153,0,1,0,1
15186061,15186470,409,0,1,0,2
15186242,15186407,165,0,1,0,1
15186456,15186513,57,0,0,1,1
15186482,15186505,23,0,0,1,2
15186506,15186525,19,1,0,0,2
15186514,15186522,8,1,0,0,1
15186523,15189014,2491,0,0,1,1
15186526,15186688,162,0,0,1,2
15186689,15186699,10,1,0,0,2
15186700,15189013,2313,0,0,1,2
15189014,15189054,40,1,0,0,2
15189015,15189056,41,1,0,0,1
15189055,15189259,204,0,0,1,2
15189057,15189174,117,0,0,1,1
15189175,15189193,18,1,0,0,1
15189194,15190797,1603,0,0,1,1
15189260,15189291,31,1,0,0,2
15189292,15190798,1506,0,0,1,2
15190798,15191008,210,1,0,0,1
15190799,15191036,237,1,0,0,2
15190824,15190959,135,0,1,0,1
15190826,15190969,143,0,1,0,2
15191009,15191080,71,0,0,1,1
15191037,15191084,47,0,0,1,2
15191081,15191093,12,1,0,0,1
15191085,15191096,11,1,0,0,2
