start,end,duration,saccade,blink,fixation,eye
12429247,12429770,523,0,0,1,1
12429247,12429771,524,0,0,1,2
12429771,12429855,84,1,0,0,1
12429772,12429863,91,1,0,0,2
12429856,12430008,152,0,0,1,1
12429864,12430008,144,0,0,1,2
12430009,12430222,213,1,0,0,1
12430009,12430243,234,1,0,0,2
12430040,12430184,144,0,1,0,1
12430040,12430193,153,0,1,0,2
12430223,12430530,307,0,0,1,1
12430244,12430530,286,0,0,1,2
12430531,12430541,10,1,0,0,2
12430531,12430543,12,1,0,0,1
12430542,12430818,276,0,0,1,2
12430544,12430825,281,0,0,1,1
12430819,12431009,190,1,0,0,2
12430826,12431004,178,1,0,0,1
12430854,12430964,110,0,1,0,1
12430856,12430969,113,0,1,0,2
12431005,12431119,114,0,0,1,1
12431010,12431122,112,0,0,1,2
12431120,12431136,16,1,0,0,1
12431123,12431134,11,1,0,0,2
12431135,12431758,623,0,0,1,2
12431137,12431868,731,0,0,1,1
12431759,12431774,15,1,0,0,2
12431775,12431863,88,0,0,1,2
12431864,12432097,233,1,0,0,2
12431869,12432080,211,1,0,0,1
12431894,12432045,151,0,1,0,2
12431895,12432035,140,0,1,0,1
12432081,12432973,892,0,0,1,1
12432098,12432969,871,0,0,1,2
12432970,12433685,715,1,0,0,2
12432974,12433684,710,1,0,0,1
12433007,12433668,661,0,1,0,1
12433008,12433674,666,0,1,0,2
12433685,12433797,112,0,0,1,1
12433686,12433797,111,0,0,1,2
12433798,12433833,35,1,0,0,1
12433798,12433833,35,1,0,0,2
12433834,12434319,485,0,0,1,1
12433834,12434320,486,0,0,1,2
12434320,12435749,1429,1,0,0,1
12434321,12435761,1440,1,0,0,2
12434403,12435728,1325,0,1,0,1
12434436,12435738,1302,0,1,0,2
12435750,12435845,95,0,0,1,1
12435762,12435845,83,0,0,1,2
12435846,12435875,29,1,0,0,1
12435846,12435894,48,1,0,0,2
12435876,12436258,382,0,0,1,1
12435895,12436254,359,0,0,1,2
12436255,12436627,372,1,0,0,2
12436259,12436608,349,1,0,0,1
12436289,12436570,281,0,1,0,1
12436291,12436579,288,0,1,0,2
12436609,12437001,392,0,0,1,1
12436628,12436987,359,0,0,1,2
12436988,12437304,316,1,0,0,2
12437002,12437284,282,1,0,0,1
12437028,12437238,210,0,1,0,1
12437029,12437248,219,0,1,0,2
12437285,12437919,634,0,0,1,1
12437305,12437908,603,0,0,1,2
12437909,12438939,1030,1,0,0,2
12437920,12438930,1010,1,0,0,1
12437962,12438920,958,0,1,0,1
12437965,12438928,963,0,1,0,2
12438931,12439020,89,0,0,1,1
12438940,12439020,80,0,0,1,2
