start,end,duration,saccade,blink,fixation,eye
9315193,9315438,245,0,0,1,1
9315193,9315439,246,0,0,1,2
9315439,9315502,63,1,0,0,1
9315440,9315502,62,1,0,0,2
9315503,9315652,149,0,0,1,1
9315503,9315652,149,0,0,1,2
9315653,9315676,23,1,0,0,1
9315653,9315676,23,1,0,0,2
9315677,9316673,996,0,0,1,2
9315677,9316674,997,0,0,1,1
9316674,9316685,11,1,0,0,2
9316675,9316685,10,1,0,0,1
9316686,9316899,213,0,0,1,2
9316686,9317849,1163,0,0,1,1
9316900,9316913,13,1,0,0,2
9316914,9317857,943,0,0,1,2
9317850,9318101,251,1,0,0,1
9317858,9318077,219,1,0,0,2
9317879,9318034,155,0,1,0,2
9317879,9318071,192,0,1,0,1
9318078,9318919,841,0,0,1,2
9318102,9318896,794,0,0,1,1
9318897,9319182,285,1,0,0,1
9318920,9319146,226,1,0,0,2
9318937,9319116,179,0,1,0,1
9318943,9319122,179,0,1,0,2
9319147,9320149,1002,0,0,1,2
9319183,9320138,955,0,0,1,1
9320139,9322957,2818,1,0,0,1
9320150,9322957,2807,1,0,0,2
9320165,9322946,2781,0,1,0,1
9320170,9322946,2776,0,1,0,2
9322958,9323105,147,0,0,1,1
9322958,9323105,147,0,0,1,2
9323106,9323141,35,1,0,0,2
9323106,9323142,36,1,0,0,1
9323142,9324067,925,0,0,1,2
9323143,9323820,677,0,0,1,1
9323821,9323826,5,1,0,0,1
9323827,9324057,230,0,0,1,1
9324058,9324389,331,1,0,0,1
9324068,9324334,266,1,0,0,2
9324084,9324308,224,0,1,0,2
9324087,9324338,251,0,1,0,1
9324335,9324485,150,0,0,1,2
9324390,9324479,89,0,0,1,1
9324480,9324495,15,1,0,0,1
9324486,9324496,10,1,0,0,2
9324496,9325921,1425,0,0,1,1
9324497,9325937,1440,0,0,1,2
9325922,9328405,2483,1,0,0,1
9325938,9328392,2454,1,0,0,2
9325960,9328378,2418,0,1,0,1
9325964,9328362,2398,0,1,0,2
9328393,9328469,76,0,0,1,2
9328406,9328470,64,0,0,1,1
9328470,9328509,39,1,0,0,2
9328471,9328510,39,1,0,0,1
9328510,9328918,408,0,0,1,2
9328511,9328916,405,0,0,1,1
9328917,9328936,19,1,0,0,1
9328919,9328937,18,1,0,0,2
9328937,9329311,374,0,0,1,1
9328938,9329325,387,0,0,1,2
9329312,9329656,344,1,0,0,1
9329326,9329608,282,1,0,0,2
9329341,9329609,268,0,1,0,1
9329352,9329587,235,0,1,0,2
9329609,9329814,205,0,0,1,2
9329657,9329824,167,0,0,1,1
9329815,9329834,19,1,0,0,2
9329825,9329836,11,1,0,0,1
9329835,9330683,848,0,0,1,2
9329837,9330678,841,0,0,1,1
9330679,9331039,360,1,0,0,1
9330684,9330983,299,1,0,0,2
9330701,9330982,281,0,1,0,1
9330708,9330952,244,0,1,0,2
9330984,9331252,268,0,0,1,2
9331040,9331249,209,0,0,1,1
9331250,9331310,60,1,0,0,1
9331253,9331279,26,1,0,0,2
9331280,9331706,426,0,0,1,2
9331311,9331712,401,0,0,1,1
9331707,9331726,19,1,0,0,2
9331713,9331727,14,1,0,0,1
9331727,9332023,296,0,0,1,2
9331728,9332026,298,0,0,1,1
9332024,9332172,148,1,0,0,2
9332027,9332142,115,1,0,0,1
9332073,9332077,4,0,1,0,1
9332106,9332162,56,0,1,0,2
9332143,9332330,187,0,0,1,1
9332173,9332256,83,0,0,1,2
9332257,9332883,626,1,0,0,2
9332331,9333368,1037,1,0,0,1
9332339,9332345,6,0,1,0,2
9332354,9332585,231,0,1,0,1
9332369,9332412,43,0,1,0,2
9332563,9332564,1,0,1,0,2
9332589,9332591,2,0,1,0,2
9332884,9332984,100,0,0,1,2
9332985,9333000,15,1,0,0,2
9333001,9333025,24,0,0,1,2
9333026,9334291,1265,1,0,0,2
9333028,9333329,301,0,1,0,1
9333369,9333512,143,0,0,1,1
9333513,9334828,1315,1,0,0,1
9333525,9334779,1254,0,1,0,1
9333576,9334280,704,0,1,0,2
9334292,9334345,53,0,0,1,2
9334356,9334431,75,0,1,0,2
9334441,9334452,11,1,0,0,2
9334453,9334652,199,0,0,1,2
9334653,9334821,168,1,0,0,2
9334672,9334729,57,0,1,0,2
9334822,9334853,31,0,0,1,2
9334829,9334851,22,0,0,1,1
9334852,9334913,61,1,0,0,1
9334854,9334912,58,1,0,0,2
9334913,9335151,238,0,0,1,2
9334914,9335160,246,0,0,1,1
9335152,9336764,1612,1,0,0,2
9335161,9336766,1605,1,0,0,1
9335190,9336471,1281,0,1,0,2
9335191,9335596,405,0,1,0,1
9335812,9336072,260,0,1,0,1
