start,end,duration,saccade,blink,fixation,eye
2598279,2598677,398,0,0,1,2
2598279,2598678,399,0,0,1,1
2598678,2598721,43,1,0,0,2
2598679,2598722,43,1,0,0,1
2598722,2598863,141,0,0,1,2
2598723,2598862,139,0,0,1,1
2598863,2598931,68,1,0,0,1
2598864,2598938,74,1,0,0,2
2598932,2599026,94,0,0,1,1
2598939,2599028,89,0,0,1,2
2599027,2599051,24,1,0,0,1
2599029,2599053,24,1,0,0,2
2599052,2599360,308,0,0,1,1
2599054,2599363,309,0,0,1,2
2599361,2599550,189,1,0,0,1
2599364,2599533,169,1,0,0,2
2599378,2599486,108,0,1,0,1
2599389,2599510,121,0,1,0,2
2599511,2599536,25,0,1,0,1
2599534,2600047,513,0,0,1,2
2599551,2600046,495,0,0,1,1
2600047,2600078,31,1,0,0,1
2600048,2600078,30,1,0,0,2
2600079,2600260,181,0,0,1,2
2600079,2600261,182,0,0,1,1
2600261,2600272,11,1,0,0,2
2600262,2600273,11,1,0,0,1
2600273,2602155,1882,0,0,1,2
2600274,2602154,1880,0,0,1,1
2602155,2602189,34,1,0,0,1
2602156,2602190,34,1,0,0,2
2602190,2602407,217,0,0,1,1
2602191,2603405,1214,0,0,1,2
2602408,2602412,4,1,0,0,1
2602413,2603402,989,0,0,1,1
2603403,2603675,272,1,0,0,1
2603406,2603651,245,1,0,0,2
2603421,2603634,213,0,1,0,2
2603422,2603653,231,0,1,0,1
2603652,2603782,130,0,0,1,2
2603676,2603783,107,0,0,1,1
2603783,2603812,29,1,0,0,2
2603784,2603802,18,1,0,0,1
2603803,2604033,230,0,0,1,1
2603813,2604033,220,0,0,1,2
2604034,2604060,26,1,0,0,2
2604034,2604062,28,1,0,0,1
2604061,2604345,284,0,0,1,2
2604063,2604345,282,0,0,1,1
2604346,2604361,15,1,0,0,2
2604346,2604366,20,1,0,0,1
2604362,2604853,491,0,0,1,2
2604367,2604851,484,0,0,1,1
2604852,2604878,26,1,0,0,1
2604854,2604879,25,1,0,0,2
2604879,2606460,1581,0,0,1,1
2604880,2606466,1586,0,0,1,2
2606461,2606837,376,1,0,0,1
2606467,2606766,299,1,0,0,2
2606483,2606784,301,0,1,0,1
2606486,2606748,262,0,1,0,2
2606767,2606818,51,0,0,1,2
2606819,2606837,18,1,0,0,2
2606838,2607654,816,0,0,1,1
2606838,2607661,823,0,0,1,2
2607655,2607672,17,1,0,0,1
2607662,2607672,10,1,0,0,2
2607673,2607821,148,0,0,1,1
2607673,2608653,980,0,0,1,2
2607822,2607833,11,1,0,0,1
2607834,2608653,819,0,0,1,1
2608654,2608672,18,1,0,0,2
2608654,2608673,19,1,0,0,1
2608673,2608861,188,0,0,1,2
2608674,2608855,181,0,0,1,1
2608856,2608875,19,1,0,0,1
2608862,2608875,13,1,0,0,2
2608876,2609178,302,0,0,1,1
2608876,2609179,303,0,0,1,2
2609179,2609199,20,1,0,0,1
2609180,2609197,17,1,0,0,2
2609198,2609370,172,0,0,1,2
2609200,2609367,167,0,0,1,1
2609368,2609754,386,1,0,0,1
2609371,2609732,361,1,0,0,2
2609386,2609724,338,0,1,0,1
2609387,2609721,334,0,1,0,2
2609733,2611231,1498,0,0,1,2
2609755,2611232,1477,0,0,1,1
2611232,2611831,599,1,0,0,2
2611233,2611935,702,1,0,0,1
2611250,2611818,568,0,1,0,2
2611251,2611419,168,0,1,0,1
2611442,2611885,443,0,1,0,1
2611832,2611897,65,0,0,1,2
2611898,2611902,4,1,0,0,2
2611903,2612688,785,0,0,1,2
2611936,2612683,747,0,0,1,1
2612684,2613455,771,1,0,0,1
2612689,2613446,757,1,0,0,2
2612700,2613407,707,0,1,0,1
2612704,2613408,704,0,1,0,2
2613447,2613621,174,0,0,1,2
2613456,2613620,164,0,0,1,1
2613621,2613637,16,1,0,0,1
2613622,2613632,10,1,0,0,2
2613633,2614273,640,0,0,1,2
2613638,2614275,637,0,0,1,1
2614274,2614304,30,1,0,0,2
2614276,2614311,35,1,0,0,1
2614305,2614490,185,0,0,1,2
2614312,2614484,172,0,0,1,1
2614485,2614805,320,1,0,0,1
2614491,2614722,231,1,0,0,2
2614504,2614676,172,0,1,0,1
2614506,2614709,203,0,1,0,2
2614697,2614746,49,0,1,0,1
2614723,2614780,57,0,0,1,2
2614781,2614797,16,1,0,0,2
2614798,2616017,1219,0,0,1,2
2614806,2616010,1204,0,0,1,1
2616011,2616037,26,1,0,0,1
2616018,2616035,17,1,0,0,2
2616036,2616272,236,0,0,1,2
2616038,2616273,235,0,0,1,1
2616273,2616295,22,1,0,0,2
2616274,2616295,21,1,0,0,1
2616296,2616582,286,0,0,1,1
2616296,2616582,286,0,0,1,2
2616583,2616611,28,1,0,0,2
2616583,2616612,29,1,0,0,1
2616612,2616885,273,0,0,1,2
2616613,2616886,273,0,0,1,1
2616886,2617193,307,1,0,0,2
2616887,2617274,387,1,0,0,1
2616903,2617182,279,0,1,0,2
2616903,2617258,355,0,1,0,1
2617194,2617216,22,0,0,1,2
2617217,2617240,23,1,0,0,2
2617241,2617861,620,0,0,1,2
2617275,2617859,584,0,0,1,1
2617860,2617881,21,1,0,0,1
2617862,2617887,25,1,0,0,2
2617882,2618645,763,0,0,1,1
2617888,2618644,756,0,0,1,2
2618645,2618687,42,1,0,0,2
2618646,2618679,33,1,0,0,1
2618680,2618813,133,0,0,1,1
2618688,2618813,125,0,0,1,2
2618814,2618838,24,1,0,0,1
2618814,2618839,25,1,0,0,2
2618839,2619662,823,0,0,1,1
2618840,2619663,823,0,0,1,2
2619663,2619734,71,1,0,0,1
2619664,2619743,79,1,0,0,2
2619735,2619845,110,0,0,1,1
2619744,2619846,102,0,0,1,2
2619846,2619921,75,1,0,0,1
2619847,2619921,74,1,0,0,2
2619922,2620065,143,0,0,1,1
2619922,2620065,143,0,0,1,2
2620066,2620092,26,1,0,0,1
2620066,2620092,26,1,0,0,2
2620093,2620650,557,0,0,1,2
2620093,2620651,558,0,0,1,1
2620651,2620679,28,1,0,0,2
2620652,2620672,20,1,0,0,1
2620673,2620818,145,0,0,1,1
2620680,2620818,138,0,0,1,2
2620819,2620824,5,1,0,0,2
2620819,2620828,9,1,0,0,1
2620825,2621080,255,0,0,1,2
2620829,2621075,246,0,0,1,1
2621076,2621399,323,1,0,0,1
2621081,2621336,255,1,0,0,2
2621093,2621314,221,0,1,0,1
2621095,2621312,217,0,1,0,2
2621337,2621379,42,0,0,1,2
2621338,2621379,41,0,1,0,1
2621380,2621397,17,1,0,0,2
2621398,2622447,1049,0,0,1,2
2621400,2622446,1046,0,0,1,1
2622447,2622458,11,1,0,0,1
2622448,2622458,10,1,0,0,2
2622459,2623565,1106,0,0,1,2
2622459,2623569,1110,0,0,1,1
2623566,2623581,15,1,0,0,2
2623570,2623582,12,1,0,0,1
2623582,2623992,410,0,0,1,2
2623583,2623991,408,0,0,1,1
2623992,2624339,347,1,0,0,1
2623993,2624268,275,1,0,0,2
2624003,2624154,151,0,1,0,1
2624006,2624241,235,0,1,0,2
2624175,2624237,62,0,1,0,1
2624262,2624320,58,0,1,0,1
2624269,2624410,141,0,0,1,2
2624340,2624409,69,0,0,1,1
2624410,2624426,16,1,0,0,1
2624411,2624426,15,1,0,0,2
2624427,2624934,507,0,0,1,2
2624427,2624938,511,0,0,1,1
2624935,2624954,19,1,0,0,2
2624939,2624954,15,1,0,0,1
2624955,2625596,641,0,0,1,1
2624955,2625596,641,0,0,1,2
2625597,2625673,76,1,0,0,1
2625597,2625676,79,1,0,0,2
2625674,2625812,138,0,0,1,1
2625677,2625812,135,0,0,1,2
2625813,2625890,77,1,0,0,1
2625813,2625890,77,1,0,0,2
2625891,2626009,118,0,0,1,1
2625891,2626010,119,0,0,1,2
2626010,2626045,35,1,0,0,1
2626011,2626044,33,1,0,0,2
2626045,2626454,409,0,0,1,2
2626046,2626454,408,0,0,1,1
2626455,2626513,58,1,0,0,1
2626455,2626513,58,1,0,0,2
2626514,2626612,98,0,0,1,2
2626514,2626613,99,0,0,1,1
2626613,2626669,56,1,0,0,2
2626614,2626666,52,1,0,0,1
2626667,2626810,143,0,0,1,1
2626670,2626810,140,0,0,1,2
2626811,2626829,18,1,0,0,2
2626811,2626837,26,1,0,0,1
2626830,2627493,663,0,0,1,2
2626838,2627494,656,0,0,1,1
2627494,2627527,33,1,0,0,2
2627495,2627534,39,1,0,0,1
2627528,2627661,133,0,0,1,2
2627535,2627661,126,0,0,1,1
2627662,2627679,17,1,0,0,2
2627662,2627680,18,1,0,0,1
2627680,2628892,1212,0,0,1,2
2627681,2628342,661,0,0,1,1
2628343,2628347,4,1,0,0,1
2628348,2628893,545,0,0,1,1
2628893,2628920,27,1,0,0,2
2628894,2628920,26,1,0,0,1
2628921,2629161,240,0,0,1,1
2628921,2629161,240,0,0,1,2
2629162,2629166,4,1,0,0,2
2629162,2629170,8,1,0,0,1
2629167,2629475,308,0,0,1,2
2629171,2629475,304,0,0,1,1
2629476,2629769,293,1,0,0,2
2629476,2629843,367,1,0,0,1
2629488,2629654,166,0,1,0,1
2629490,2629743,253,0,1,0,2
2629680,2629743,63,0,1,0,1
2629765,2629832,67,0,1,0,1
2629770,2629922,152,0,0,1,2
2629844,2629921,77,0,0,1,1
2629922,2629950,28,1,0,0,1
2629923,2629949,26,1,0,0,2
2629950,2630243,293,0,0,1,2
2629951,2630242,291,0,0,1,1
2630243,2630276,33,1,0,0,1
