start,end,duration,saccade,blink,fixation,eye
9595517,9595900,383,0,0,1,1
9595517,9595901,384,0,0,1,2
9595901,9595966,65,1,0,0,1
9595902,9595980,78,1,0,0,2
9595967,9596706,739,0,0,1,1
9595981,9596134,153,0,0,1,2
9596135,9596146,11,1,0,0,2
9596147,9596707,560,0,0,1,2
9596707,9596719,12,1,0,0,1
9596708,9596723,15,1,0,0,2
9596720,9596833,113,0,0,1,1
9596724,9596831,107,0,0,1,2
9596832,9596848,16,1,0,0,2
9596834,9596846,12,1,0,0,1
9596847,9597536,689,0,0,1,1
9596849,9597536,687,0,0,1,2
9597537,9597622,85,1,0,0,2
9597537,9597623,86,1,0,0,1
9597623,9597897,274,0,0,1,2
9597624,9597898,274,0,0,1,1
9597898,9597950,52,1,0,0,2
9597899,9597955,56,1,0,0,1
9597951,9598103,152,0,0,1,2
9597956,9598102,146,0,0,1,1
9598103,9598132,29,1,0,0,1
9598104,9598122,18,1,0,0,2
9598123,9599933,1810,0,0,1,2
9598133,9598326,193,0,0,1,1
9598327,9598331,4,1,0,0,1
9598332,9599934,1602,0,0,1,1
9599934,9600160,226,1,0,0,2
9599935,9600149,214,1,0,0,1
9599985,9600115,130,0,1,0,1
9599990,9600119,129,0,1,0,2
9600150,9600321,171,0,0,1,1
9600161,9600324,163,0,0,1,2
9600322,9600347,25,1,0,0,1
9600325,9600346,21,1,0,0,2
9600347,9601859,1512,0,0,1,2
9600348,9601860,1512,0,0,1,1
9601860,9601917,57,1,0,0,2
9601861,9601923,62,1,0,0,1
9601918,9602031,113,0,0,1,2
9601924,9602030,106,0,0,1,1
9602031,9602053,22,1,0,0,1
9602032,9602052,20,1,0,0,2
9602053,9602457,404,0,0,1,2
9602054,9602455,401,0,0,1,1
9602456,9602470,14,1,0,0,1
9602458,9602470,12,1,0,0,2
9602471,9603678,1207,0,0,1,1
9602471,9603679,1208,0,0,1,2
9603679,9603777,98,1,0,0,1
9603680,9603779,99,1,0,0,2
9603778,9603847,69,0,0,1,1
9603780,9603846,66,0,0,1,2
9603847,9603892,45,1,0,0,2
9603848,9603893,45,1,0,0,1
9603893,9604021,128,0,0,1,2
9603894,9604022,128,0,0,1,1
9604022,9604051,29,1,0,0,2
9604023,9604044,21,1,0,0,1
9604045,9605416,1371,0,0,1,1
9604052,9605416,1364,0,0,1,2
9605417,9605509,92,1,0,0,2
9605417,9605510,93,1,0,0,1
9605510,9605597,87,0,0,1,2
9605511,9605598,87,0,0,1,1
9605598,9605623,25,1,0,0,2
9605599,9605622,23,1,0,0,1
9605623,9607186,1563,0,0,1,1
9605624,9607185,1561,0,0,1,2
9607186,9607236,50,1,0,0,2
9607187,9607224,37,1,0,0,1
9607225,9607327,102,0,0,1,1
9607237,9607328,91,0,0,1,2
9607328,9607349,21,1,0,0,1
9607329,9607358,29,1,0,0,2
9607350,9608764,1414,0,0,1,1
9607359,9608761,1402,0,0,1,2
9608762,9608863,101,1,0,0,2
9608765,9608863,98,1,0,0,1
9608864,9608946,82,0,0,1,1
9608864,9608946,82,0,0,1,2
9608947,9608979,32,1,0,0,2
9608947,9608981,34,1,0,0,1
9608980,9610153,1173,0,0,1,2
9608982,9609154,172,0,0,1,1
9609155,9609165,10,1,0,0,1
9609166,9610153,987,0,0,1,1
9610154,9610208,54,1,0,0,2
9610154,9610209,55,1,0,0,1
9610209,9610406,197,0,0,1,2
9610210,9610406,196,0,0,1,1
9610407,9610476,69,1,0,0,1
9610407,9610476,69,1,0,0,2
9610477,9610550,73,0,0,1,1
9610477,9610550,73,0,0,1,2
9610551,9610576,25,1,0,0,2
9610551,9610579,28,1,0,0,1
9610577,9612205,1628,0,0,1,2
9610580,9612204,1624,0,0,1,1
9612205,9612279,74,1,0,0,1
9612206,9612280,74,1,0,0,2
9612280,9612465,185,0,0,1,1
9612281,9612460,179,0,0,1,2
9612461,9612488,27,1,0,0,2
9612466,9612478,12,1,0,0,1
9612479,9613543,1064,0,0,1,1
9612489,9613543,1054,0,0,1,2
9613544,9613597,53,1,0,0,2
9613544,9613598,54,1,0,0,1
